"area_name","rgn_num"
"Costa Rica (Pacific)",930
"France (Atlantic Coast)",919
"Kiribati (Line Islands)",942
"Honduras (Pacific)",920
"Peru",604
"Seychelles",690
"Montenegro",891
"Viet Nam",704
"Thailand (Gulf of Thailand)",957
"Bouvet Isl. (Norway)",74
"Brazil (mainland)",76
"France (Mediterranean)",918
"Kiribati (Phoenix Islands)",943
"Hong Kong (China)",344
"Sicily (Italy)",901
"Côte d'Ivoire",384
"Montserrat (UK)",500
"Philippines",608
"Timor Leste",626
"Wake Isl. (USA)",872
"British Virgin Isl. (UK)",92
"French Guiana",254
"Crete (Greece)",900
"Morocco (Central)",946
"Pitcairn (UK)",612
"Sierra Leone",694
"Togo",768
"Wallis & Futuna Isl. (France)",876
"Howland & Baker Isl. (USA)",846
"Brunei Darussalam",96
"Croatia",191
"French Polynesia",258
"Iceland",352
"Korea (South)",410
"Morocco (Mediterranean)",947
"Singapore",702
"Tokelau (New Zealand)",772
"Yemen (Arabian Sea)",917
"Poland",616
"Bulgaria",100
"Gabon",266
"India (mainland)",356
"Kuwait",414
"Morocco (South)",948
"Portugal (mainland)",620
"Tonga",776
"Yemen (Red Sea)",916
"Sint Maarten (Netherlands)",909
"Crozet Isl. (France)",896
"American Samoa",16
"Myanmar",104
"Canada (Arctic)",924
"Gaza Strip",274
"Indonesia (Indian Ocean)",938
"Liberia",430
"Qatar",634
"Somalia",706
"Cyprus (North)",197
"Tristan da Cunha Isl. (UK)",856
"Canada (East Coast)",926
"Georgia",268
"Andaman & Nicobar Isl. (India)",357
"Iran (Persian Gulf)",922
"Libya",434
"Réunion (France)",638
"South Africa (Atlantic and Cape)",953
"Cyprus (South)",198
"Namibia",516
"Tromelin Isl. (France)",252
"Angola",24
"Canada (Pacific)",925
"Denmark (Baltic Sea)",931
"Germany (Baltic Sea)",278
"Iran (Sea of Oman)",923
"Nauru",520
"Romania",642
"South Africa (Indian Ocean Coast)",954
"Tunisia",788
"Lithuania",440
"Turkey (Black Sea)",794
"Lord Howe Isl. (Australia)",38
"Germany (North Sea)",277
"Iraq",368
"Netherlands",528
"Russia (Baltic Sea)",648
"Anguilla (UK)",660
"Canary Isl. (Spain)",723
"Denmark (North Sea)",932
"South Georgia & Sandwich Isl. (UK)",239
"Turkey (Marmara Sea)",966
"Antigua & Barbuda",28
"Cape Verde",132
"Desventuradas Isl. (Chile)",154
"Ghana",288
"Ireland",372
"New Caledonia (France)",540
"Russia (Barents Sea)",645
"South Orkney Islands (UK)",910
"Macquarie Isl. (Australia)",37
"Turkey (Mediterranean Sea)",793
"Argentina",32
"Cayman Isl. (UK)",136
"Israel (Mediterranean)",939
"Madagascar",450
"New Zealand",554
"Russia (Black Sea)",647
"Spain (mainland, Med and Gulf of Cadiz)",962
"Djibouti",262
"Glorieuse Islands (France)",972
"Chagos Archipelago (UK)",86
"Dominica",212
"Greece (without Crete)",300
"Israel (Red Sea)",940
"Aruba (Netherlands)",967
"Nicaragua (Caribbean)",949
"Russia (Far East)",649
"Spain (Northwest)",963
"Turks & Caicos Isl. (UK)",796
"Madeira Isl. (Portugal)",621
"Belgium",56
"Comoros Isl.",174
"Guyana",328
"Jordan",400
"Mauritania",478
"Pakistan",586
"Sweden (Baltic)",914
"USA (East Coast)",851
"Samoa",882
"Estonia",233
"Korea (North, Sea of Japan)",973
"Korea (North, Yellow Sea)",974
