"","sciname","common","SpecCode","Resilience"
"375","Menticirrhus littoralis","Gulf kingcroaker",411,"Medium"
"376","Mercenaria mercenaria","Northern quahog",NA,NA
"377","Meretrix lusoria","Japanese hard clam",NA,NA
"378","Merluccius australis","Southern hake",322,"Low"
"379","Merluccius bilinearis","Silver hake",323,"Medium"
"380","Merluccius capensis","Shallow-water Cape hake",1828,"Low"
"381","Merluccius gayi gayi","South Pacific hake",324,"Medium"
"382","Merluccius gayi peruanus","Peruvian hake",14693,"Medium"
"383","Merluccius hubbsi","Argentine hake",325,"Low"
"384","Merluccius merluccius","European hake",30,"Medium"
"385","Merluccius polli","Benguela hake",327,"Medium"
"386","Merluccius productus","North Pacific hake",326,"Medium"
"387","Merluccius senegalensis","Senegalese hake",321,"Low"
"388","Mesocentrotus franciscanus","Red sea urchin",NA,NA
"389","Mesodesma donacium","Macha clam",NA,NA
"390","Metacarcinus magister","Dungeness crab",NA,NA
"391","Metapenaeus affinis","Jinga shrimp",NA,NA
"392","Metapenaeus brevicornis","Yellow shrimp",NA,NA
"393","Metapenaeus joyneri","Shiba shrimp",NA,NA
"394","Metapenaeus monoceros","Speckled shrimp",NA,"High"
"395","Metapenaeus tenuipes","Stork shrimp",NA,NA
"396","Micromesistius australis","Southern blue whiting",320,"Medium"
"397","Micromesistius poutassou","Blue whiting",31,"Medium"
"398","Micropogonias furnieri","Whitemouth croaker",7620,"Medium"
"399","Micropogonias undulatus","Atlantic croaker",408,"Medium"
"400","Microstomus kitt","Lemon sole",1382,"Medium"
"401","Microstomus pacificus","Dover sole",4247,"Low"
"402","Miichthys miiuy","Mi-iuy croaker",4569,"Medium"
"403","Mizuhopecten yessoensis","Yesso scallop",NA,NA
"404","Mola mola","Ocean sunfish",1732,"Medium"
"405","Moolgarda seheli","Bluespot mullet",NA,NA
"406","Morone saxatilis","Striped bass",353,"Low"
"407","Mugil cephalus","Flathead grey mullet",785,"Medium"
"408","Mugil curema","White mullet",1086,"Medium"
"409","Mugil liza","Lebranche mullet",1090,"Medium"
"410","Mullus barbatus barbatus","Red mullet",NA,NA
"411","Mullus surmuletus","Surmullet",1327,"Medium"
"412","Muraenesox cinereus","Daggertooth pike conger",298,"Medium"
"413","Mustelus lenticulatus","Spotted estuary smooth-hound",5933,"Low"
"414","Mustelus schmitti","Narrownose smooth-hound",5937,"Very low"
"415","Mustelus whitneyi","Humpback smooth-hound",5939,"Very low"
"416","Mycteroperca bonaci","Black grouper",1209,"Medium"
"417","Mycteroperca microlepis","Gag",1212,"Medium"
"418","Mytilus chilensis","Chilean mussel",NA,NA
"419","Mytilus coruscus","Korean mussel",NA,NA
"420","Mytilus edulis","Blue mussel",NA,NA
"421","Mytilus galloprovincialis","Mediterranean mussel",NA,NA
"422","Mytilus platensis","River Plata mussel",NA,NA
"423","Myxine glutinosa","Hagfish",2513,"Low"
"424","Nassarius mutabilis","Changeable nassa",NA,NA
"425","Nebris microps","Smalleye croaker",1184,"High"
"426","Necora puber","Velvet swimcrab",NA,NA
"427","Nemadactylus bergi","Castaneta",460,"Medium"
"428","Nematalosa nasus","Bloch's gizzard shad",1616,"High"
"429","Nematocarcinus africanus","African spider shrimp",NA,NA
"430","Nemipterus hexodon","Ornate threadfin bream",4565,"High"
"431","Nemipterus japonicus","Japanese threadfin bream",4559,"Medium"
"432","Nemipterus virgatus","Golden threadfin bream",396,"Medium"
"433","Nephrops norvegicus","Norway lobster",NA,NA
"434","Netuma thalassina","Giant catfish",10220,"Low"
"435","Nibea mitsukurii","Honnibe croaker",427,"Medium"
"436","Normanichthys crockeri","Mote sculpin",4313,"High"
"437","Notarius grandicassis","Thomas sea catfish",949,"Low"
"438","Notothenia rossii","Marbled rockcod",468,"Low"
"439","Nototodarus sloanii","Wellington flying squid",NA,"Medium"
"440","Oblada melanura","Saddled seabream",850,"Medium"
"441","Octopus cyanea","Big blue octopus",NA,NA
"442","Octopus vulgaris","Common octopus",NA,"High"
"443","Ocyurus chrysurus","Yellowtail snapper",188,"Medium"
"444","Odontamblyopus rubicundus","Rubicundus eelgoby",13545,"Medium"
"445","Odontesthes regia","Chilean silverside",8172,"High"
"446","Oncorhynchus gorbuscha","Pink salmon",240,"Medium"
"447","Oncorhynchus keta","Chum salmon",241,"Medium"
"448","Oncorhynchus kisutch","Coho salmon",245,"Medium"
"449","Oncorhynchus nerka","Sockeye salmon",243,"Medium"
"450","Oncorhynchus tshawytscha","Chinook salmon",244,"Medium"
"451","Ophiodon elongatus","Lingcod",509,"Medium"
"452","Opisthonema libertate","Pacific thread herring",1484,"High"
"453","Opisthonema oglinum","Atlantic thread herring",1486,"Medium"
"454","Oplegnathus fasciatus","Barred knifejaw",6532,NA
"455","Orcynopsis unicolor","Plain bonito",108,"Medium"
"456","Orthopristis reddingi","Bronze-striped grunt",13724,"Low"
"457","Osmerus eperlanus","European smelt",1334,"Medium"
"458","Osmerus mordax mordax","Rainbow smelt",NA,NA
"459","Ostrea edulis","European flat oyster",NA,NA
"460","Otolithes ruber","Tigertooth croaker",4824,"Medium"
"461","Pagellus acarne","Axillary seabream",889,"Medium"
"462","Pagellus bellottii","Red pandora",436,"Medium"
"463","Pagellus erythrinus","Common pandora",893,"Medium"
"464","Pagrus auratus","Silver seabream",6426,"Low"
"465","Pagrus caeruleostictus","Bluespotted seabream",4540,"Medium"
"466","Pagrus major","Japanese seabream",445,"Low"
"467","Pagrus pagrus","Red porgy",1756,"Medium"
"468","Pampus argenteus","Silver pomfret",491,"Medium"
"469","Pampus chinensis","Chinese silver pomfret",8187,"High"
"470","Pandalus borealis","Northern prawn",NA,NA
"471","Pandalus goniurus","Humpy shrimp",NA,NA
"472","Pandalus jordani","Ocean shrimp",NA,NA
"473","Panopea generosa","Pacific geoduck",NA,NA
"474","Panulirus argus","Caribbean spiny lobster",NA,NA
"475","Panulirus cygnus","Australian spiny lobster",NA,NA
"476","Panulirus homarus","Scalloped spiny lobster",NA,NA
