iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
161910,Silene holzmannii,EN,europe,0.6,EN
161916,Kosteletzkya pentacarpos,VU,europe,0.4,VU
161917,Silene rothmaleri,NT,europe,0.2,NT
161942,Andryala crithmifolia,CR,europe,0.8,CR
161943,Thesium subsucculentum,CR,europe,0.8,CR
161957,Hippuris tetraphylla,LC,europe,0,LC
161975,Atractylis arbuscula,EN,europe,0.6,EN
161981,Armeria pseudarmeria,EN,europe,0.6,EN
161983,Puccinellia phryganodes,LC,europe,0,LC
161992,Oenanthe conioides,DD,europe,NA,DD
162000,Limonium multiflorum,LC,europe,0,LC
162004,Armeria berlengensis,CR,europe,0.8,CR
162013,Helianthemum caput-felis,EN,europe,0.6,EN
162020,Atractylis preauxiana,EN,europe,0.6,EN
162088,Beta patula,CR,europe,0.8,CR
162100,Orobanche densiflora,DD,europe,NA,DD
162102,Geranium maderense,CR,europe,0.8,CR
162111,Convolvulus caput-medusae,NT,europe,0.2,NT
162116,Silene hifacensis,EN,europe,0.6,EN
162118,Cistus palhinhae,DD,europe,NA,DD
162125,Armeria soleirolii,EN,europe,0.6,EN
162128,Centaurea horrida,EN,europe,0.6,EN
162131,Scilla madeirensis,LC,europe,0,LC
162139,Brassica macrocarpa,CR,europe,0.8,CR
162167,Limonium lanceolatum,DD,europe,NA,DD
162193,Rumex rupestris,VU,europe,0.4,VU
162200,Salvia granatensis,EN,europe,0.6,EN
162212,Sedum brissemoretii,VU,europe,0.4,VU
162234,Musschia aurea,LC,europe,0,LC
162243,Linaria tenuis,EN,europe,0.6,EN
162311,Dianthus rupicola,NT,europe,0.2,NT
162343,Diplotaxis ibicensis,LC,europe,0,LC
162352,Origanum dictamnus,NT,europe,0.2,NT
162361,Polygonum praelongum,EN,europe,0.6,EN
162389,Festuca brigantina,VU,europe,0.4,VU
164037,Fimbristylis bisumbellata,LC,europe,0,LC
164179,Ipomoea sagittata,VU,europe,0.4,VU
164203,Apium graveolens,LC,europe,0,LC
164276,Bolboschoenus maritimus,LC,europe,0,LC
164280,Ruppia cirrhosa,LC,europe,0,LC
164375,Althenia orientalis,DD,europe,NA,DD
164483,Eleocharis parvula,DD,europe,NA,DD
164487,Lactuca virosa,DD,europe,NA,DD
164508,Ruppia maritima,LC,europe,0,LC
164528,Ranunculus hederaceus,LC,europe,0,LC
165117,Lepidium turczaninowii,CR,europe,0.8,CR
165214,Lotus maculatus,CR,europe,0.8,CR
165230,Beta adanensis,VU,europe,0.4,VU
165268,Limonium fruticans,EN,europe,0.6,EN
165352,Theodoxus fluviatilis,LC,europe,0,LC
167844,Carex recta,DD,europe,NA,DD
167851,Schoenoplectus pungens,LC,europe,0,LC
169915,Beta vulgaris,LC,europe,0,LC
170104,Brassica fruticulosa,LC,europe,0,LC
170107,Brassica montana,LC,europe,0,LC
170108,Rhamphospermum nigrum,LC,europe,0,LC
170110,Brassica oleracea,DD,europe,NA,DD
172063,Allium subhirsutum,DD,europe,NA,DD
172065,Allium subvillosum,DD,europe,NA,DD
172080,Allium paniculatum,LC,europe,0,LC
172086,Aegilops tauschii,EN,europe,0.6,EN
172089,Lactuca tatarica,LC,europe,0,LC
172091,Hordeum secalinum,LC,europe,0,LC
172109,Allium curtum,LC,europe,0,LC
172053,Daucus involucratus,LC,europe,0,LC
172127,Aegilops triuncialis,LC,europe,0,LC
172055,Avena longiglumis,DD,europe,NA,DD
172132,Allium proponticum,DD,europe,NA,DD
172134,Lactuca serriola,LC,europe,0,LC
172070,Cichorium spinosum,DD,europe,NA,DD
172077,Allium acutiflorum,LC,europe,0,LC
172148,Allium obtusiflorum,DD,europe,NA,DD
172151,Aegilops bicornis,VU,europe,0.4,VU
172159,Allium sphaerocephalon,LC,europe,0,LC
172167,Allium melananthum,NT,europe,0.2,NT
172176,Daucus halophilus,DD,europe,NA,DD
172183,Patellifolia procumbens,LC,europe,0,LC
172192,Allium ampeloprasum,LC,europe,0,LC
172205,Lactuca saligna,LC,europe,0,LC
172225,Lactuca tuberosa,LC,europe,0,LC
172230,Daucus glaber,LC,europe,0,LC
172253,Lactuca viminea,LC,europe,0,LC
172273,Hordeum marinum,LC,europe,0,LC
172281,Allium commutatum,DD,europe,NA,DD
173007,Daucus littoralis,LC,europe,0,LC
173392,Limonium legrandii,EN,europe,0.6,EN
175246,Schoenoplectus tabernaemontani,LC,europe,0,LC
175249,Lysimachia dubia,DD,europe,NA,DD
176025,Orchis mascula,LC,europe,0,LC
176111,Vicia bithynica,LC,europe,0,LC
176365,Lepidium syvaschicum,DD,europe,NA,DD
176377,Asparagus officinalis,LC,europe,0,LC
176383,Eruca vesicaria,LC,europe,0,LC
176386,Asparagus horridus,LC,europe,0,LC
176390,Trifolium incarnatum,LC,europe,0,LC
176400,Diplotaxis tenuifolia,LC,europe,0,LC
176402,Diplotaxis harra,LC,europe,0,LC
176409,Raphanus raphanistrum,LC,europe,0,LC
176431,Crambe maritima,LC,europe,0,LC
176434,Arrhenatherum elatius,LC,europe,0,LC
176444,Sinapis alba,LC,europe,0,LC
176456,Diplotaxis viminea,LC,europe,0,LC
176473,Caroxylon vermiculatum,LC,europe,0,LC
176486,Rorippa sylvestris,LC,europe,0,LC
176500,Lepidium ruderale,LC,europe,0,LC
176502,Agropyron dasyanthum,EN,europe,0.6,EN
176513,Medicago arborea,LC,europe,0,LC
176516,Asparagus littoralis,DD,europe,NA,DD
176517,Lepidium spinosum,DD,europe,NA,DD
176528,Asparagus albus,LC,europe,0,LC
176531,Atriplex halimus,LC,europe,0,LC
176547,Agropyron cimmericum,EN,europe,0.6,EN
176549,Lepidium heterophyllum,LC,europe,0,LC
176556,Asparagus brachyphyllus,DD,europe,NA,DD
176558,Festuca rubra,LC,europe,0,LC
176568,Lathyrus sylvestris,LC,europe,0,LC
176577,Asparagus kasakstanicus,DD,europe,NA,DD
176583,Asparagus maritimus,DD,europe,NA,DD
176593,Sinapis flexuosa,LC,europe,0,LC
176594,Diplotaxis siifolia,NT,europe,0.2,NT
176615,Asparagus scoparius,LC,europe,0,LC
180552,Vicia costae,CR,europe,0.8,CR
180554,Sinapidendron angustifolium,CR,europe,0.8,CR
180555,Sinapidendron frutescens,EN,europe,0.6,EN
195506,Stuckenia vaginata,NT,europe,0.2,NT
40095,Ichnusomunda sacchii,CR,europe,0.8,CR
61615,Naufraga balearica,CR,europe,0.8,CR
61621,Cheirolophus crassifolius,CR,europe,0.8,CR
61623,Helichrysum melitense,CR,europe,0.8,CR
61648,Centranthus trinervis,EN,europe,0.6,EN
61653,Medicago citrina,CR,europe,0.8,CR
61654,Anchusa crispa,EN,europe,0.6,EN
61667,Limonium strictissimum,EN,europe,0.6,EN
9845,Moreletina obruta,VU,europe,0.4,VU
13306686,Colletes halophilus,NT,europe,0.2,NT
13306829,Colletes impunctatus,VU,europe,0.4,VU
161339,Raja radula,EN,europe,0.6,EN
194427,Parapristipoma humile,LC,europe,0,LC
170222,Diplodus bellottii,LC,europe,0,LC
154708,Diplodus cervinus,LC,europe,0,LC
170162,Pagellus bellottii,LC,europe,0,LC
198574,Belone svetovidovi,LC,europe,0,LC
170350,Coryphaena equiselis,LC,europe,0,LC
154712,Coryphaena hippurus,LC,europe,0,LC
170333,Tetrapturus georgii,DD,europe,NA,DD
15521985,Scomberesox simulans,LC,europe,0,LC
170331,Acanthocybium solandri,LC,europe,0,LC
170355,Auxis rochei,LC,europe,0,LC
170345,Euthynnus alletteratus,LC,europe,0,LC
170310,Katsuwonus pelamis,LC,europe,0,LC
170319,Orcynopsis unicolor,VU,europe,0.4,VU
155096,Sarda sarda,LC,europe,0,LC
170357,Scomber colias,LC,europe,0,LC
170354,Scomber scombrus,LC,europe,0,LC
170326,Scomberomorus tritor,LC,europe,0,LC
21856,Thunnus alalunga,LC,europe,0,LC
195003,Halobatrachus didactylus,LC,europe,0,LC
198573,Belone belone,LC,europe,0,LC
189820,Tylosurus acus,LC,europe,0,LC
198577,Hyporhamphus picarti,LC,europe,0,LC
190211,Scomberesox saurus,LC,europe,0,LC
155227,Serrivomer lanceolatoides,LC,europe,0,LC
198776,Lepadogaster purpurea,LC,europe,0,LC
13145815,Allium thessalicum,LC,europe,0,LC
13168390,Trisetaria dufourei,LC,europe,0,LC
13167905,Helictochloa crassifolia,EN,europe,0.6,EN
13144562,Allium maniaticum,EN,europe,0.6,EN
61598,Allium calamarophilon,VU,europe,0.4,VU
190335,Aulopus filamentosus,LC,europe,0,LC
198556,Arnoglossus thori,LC,europe,0,LC
198633,Callanthias ruber,LC,europe,0,LC
198638,Synchiropus phaeton,LC,europe,0,LC
16407132,Antigonia capros,LC,europe,0,LC
198557,Capros aper,LC,europe,0,LC
194993,Chlorophthalmus agassizi,LC,europe,0,LC
194969,Conger conger,LC,europe,0,LC
190210,Myoxocephalus scorpius,LC,europe,0,LC
198653,Epigonus telescopus,DD,europe,NA,DD
198586,Micromesistius poutassou,LC,europe,0,LC
198665,Lesueurigobius friesii,LC,europe,0,LC
18257696,Grammicolepis brachiusculus,DD,europe,NA,DD
198589,Gaidropsarus granti,DD,europe,NA,DD
198775,Coelorinchus caelorhincus,DD,europe,NA,DD
196057,Myxine glutinosa,LC,europe,0,LC
194986,Ophisurus serpens,LC,europe,0,LC
16439757,Cyttopsis rosea,DD,europe,NA,DD
198742,Peristedion cataphractum,DD,europe,NA,DD
198603,Phycis blennoides,DD,europe,NA,DD
198604,Phycis phycis,DD,europe,NA,DD
198729,Lepidorhombus boscii,LC,europe,0,LC
198730,Lepidorhombus whiffiagonis,LC,europe,0,LC
198743,Pontinus kuhlii,LC,europe,0,LC
198579,Hoplostethus mediterraneus,LC,europe,0,LC
198721,Lepidopus caudatus,LC,europe,0,LC
198756,Trigla lyra,DD,europe,NA,DD
15623273,Trigloporus lastoviza,DD,europe,NA,DD
190347,Zenopsis conchifer,DD,europe,NA,DD
19199638,Andrena vetula,LC,europe,0,LC
19199700,Andrena wollastoni,LC,europe,0,LC
19198640,Hylaeus euryscapus,DD,europe,NA,DD
19198523,Hylaeus hyalinatus,LC,europe,0,LC
19199330,Hylaeus nigrifacies,LC,europe,0,LC
19198880,Hylaeus pectoralis,DD,europe,NA,DD
19199460,Hylaeus signatus,LC,europe,0,LC
18257762,Spinachia spinachia,LC,europe,0,LC
19199259,Icteranthidium ovasi,NT,europe,0.2,NT
19199828,Eucera lucasi,DD,europe,NA,DD
19199257,Eucera mediterranea,DD,europe,NA,DD
19199158,Andrena mitis,DD,europe,NA,DD
13273,Metatrichoniscoides celticus,NT,europe,0.2,NT
198706,Argyrosomus regius,LC,europe,0,LC
198707,Sciaena umbra,NT,europe,0.2,NT
198708,Umbrina canariensis,LC,europe,0,LC
198709,Umbrina cirrosa,VU,europe,0.4,VU
198710,Umbrina ronchus,LC,europe,0,LC
19198638,Anthophora bimaculata,LC,europe,0,LC
194812,Lepadogaster lepadogaster,LC,europe,0,LC
21130109,Didogobius kochi,LC,europe,0,LC
21130979,Vanneaugobius canariensis,LC,europe,0,LC
170284,Centracanthus cirrus,LC,europe,0,LC
170280,Spicara maena,LC,europe,0,LC
170283,Spicara smaris,LC,europe,0,LC
194428,Parapristipoma octolineatum,LC,europe,0,LC
194433,Plectorhinchus mediterraneus,LC,europe,0,LC
155182,Pomadasys incisus,LC,europe,0,LC
170251,Boops boops,LC,europe,0,LC
170245,Dentex dentex,VU,europe,0.4,VU
170186,Dentex gibbosus,LC,europe,0,LC
170232,Dentex macrophthalmus,LC,europe,0,LC
170166,Dentex maroccanus,LC,europe,0,LC
170260,Diplodus annularis,LC,europe,0,LC
170262,Diplodus puntazzo,LC,europe,0,LC
170261,Diplodus vulgaris,LC,europe,0,LC
170160,Lithognathus mormyrus,LC,europe,0,LC
170197,Oblada melanura,LC,europe,0,LC
170229,Pagellus acarne,LC,europe,0,LC
170244,Pagellus bogaraveo,NT,europe,0.2,NT
170224,Pagellus erythrinus,LC,europe,0,LC
170220,Pagrus auriga,LC,europe,0,LC
170159,Pagrus caeruleostictus,LC,europe,0,LC
15873,Pagrus pagrus,LC,europe,0,LC
170169,Sarpa salpa,LC,europe,0,LC
170253,Sparus aurata,LC,europe,0,LC
170258,Spondyliosoma cantharus,LC,europe,0,LC
170155,Diplodus sargus,LC,europe,0,LC
19199164,Lasioglossum intermedium,NT,europe,0.2,NT
19198581,Lasioglossum angusticeps,NT,europe,0.2,NT
19199308,Andrena langadensis,LC,europe,0,LC
178023,Acanthurus monroviae,NA,europe,NA,NA
18227168,Agonus cataphractus,LC,europe,0,LC
18227194,Leptagonus decagonus,LC,europe,0,LC
154820,Alepisaurus ferox,LC,europe,0,LC
15147715,Alepocephalus agassizii,LC,europe,0,LC
15147725,Alepocephalus australis,LC,europe,0,LC
15147740,Alepocephalus bairdii,DD,europe,NA,DD
18139074,Alepocephalus productus,LC,europe,0,LC
198626,Alepocephalus rostratus,LC,europe,0,LC
190098,Asquamiceps velaris,DD,europe,NA,DD
15147860,Bathylaco nigricans,LC,europe,0,LC
190282,Bathytroctes macrolepis,LC,europe,0,LC
15147977,Bathytroctes michaelsarsi,LC,europe,0,LC
190265,Bathytroctes microlepis,LC,europe,0,LC
15148522,Conocara macropterum,LC,europe,0,LC
18139087,Conocara microlepis,DD,europe,NA,DD
18139615,Conocara murrayi,LC,europe,0,LC
15148566,Conocara salmoneum,DD,europe,NA,DD
15148964,Leptoderma macrops,DD,europe,NA,DD
18140253,Mirognathus normani,DD,europe,NA,DD
18140291,Narcetes stomias,LC,europe,0,LC
190298,Photostylus pycnopterus,LC,europe,0,LC
15149028,Rinoctes nasutus,LC,europe,0,LC
15149121,Rouleina attrita,LC,europe,0,LC
190264,Rouleina maderensis,DD,europe,NA,DD
15149335,Xenodermichthys copei,LC,europe,0,LC
18155957,Ammodytes marinus,LC,europe,0,LC
18155960,Ammodytes tobianus,DD,europe,NA,DD
198630,Gymnammodytes cicerelus,DD,europe,NA,DD
18155963,Gymnammodytes semisquamatus,LC,europe,0,LC
18155977,Hyperoplus immaculatus,DD,europe,NA,DD
18155982,Hyperoplus lanceolatus,LC,europe,0,LC
18155990,Anarhichas denticulatus,EN,europe,0.6,EN
18155993,Anarhichas lupus,DD,europe,NA,DD
18263655,Anarhichas minor,NT,europe,0.2,NT
18123960,Anoplogaster cornuta,LC,europe,0,LC
18123632,Anotopterus pharao,LC,europe,0,LC
190183,Histrio histrio,LC,europe,0,LC
18138798,Sciadonus cryptophthalmus,DD,europe,NA,DD
18138803,Sciadonus galatheae,DD,europe,NA,DD
195886,Apogon imberbis,LC,europe,0,LC
18140328,Argentina silus,LC,europe,0,LC
198627,Glossanodon leioglossus,LC,europe,0,LC
13462250,Guentherus altivela,LC,europe,0,LC
194990,Atherina hepsetus,LC,europe,0,LC
198549,Argentina sphyraena,LC,europe,0,LC
194991,Atherina presbyter,LC,europe,0,LC
193736,Balistes capriscus,DD,europe,NA,DD
190444,Canthidermis maculata,LC,europe,0,LC
18140341,Bathylagus euryops,LC,europe,0,LC
18140358,Bathylagichthys greyae,LC,europe,0,LC
18140736,Dolicholagus longirostris,LC,europe,0,LC
190485,Melanolagus bericoides,LC,europe,0,LC
13462491,Bathysaurus ferox,LC,europe,0,LC
195001,Bathysaurus mollis,LC,europe,0,LC
198578,Beryx decadactylus,NT,europe,0.2,NT
185168,Aidablennius sphynx,LC,europe,0,LC
185126,Blennius ocellaris,LC,europe,0,LC
185165,Coryphoblennius galerita,LC,europe,0,LC
154753,Hypleurochilus bananensis,LC,europe,0,LC
185180,Lipophrys pholis,LC,europe,0,LC
185156,Microlipophrys canevae,LC,europe,0,LC
185128,Parablennius gattorugine,LC,europe,0,LC
185181,Parablennius incognitus,LC,europe,0,LC
198774,Parablennius pilicornis,LC,europe,0,LC
185162,Parablennius ruber,LC,europe,0,LC
185193,Parablennius sanguinolentus,LC,europe,0,LC
185185,Parablennius tentacularis,LC,europe,0,LC
185127,Lipophrys trigloides,LC,europe,0,LC
185175,Salaria pavo,LC,europe,0,LC
198632,Scartella cristata,LC,europe,0,LC
18214503,Arnoglossus grohmanni,DD,europe,NA,DD
154687,Arnoglossus imperialis,LC,europe,0,LC
198724,Arnoglossus laterna,LC,europe,0,LC
155225,Arnoglossus rueppelii,DD,europe,NA,DD
198725,Bothus podas,LC,europe,0,LC
195091,Brama brama,LC,europe,0,LC
190330,Pterycombus brama,LC,europe,0,LC
18156550,Taractes asper,NA,europe,NA,NA
190394,Taractichthys longipinnis,LC,europe,0,LC
154997,Bregmaceros atlanticus,LC,europe,0,LC
198622,Bellottia apoda,LC,europe,0,LC
198564,Cataetyx alleni,LC,europe,0,LC
198623,Cataetyx laticeps,LC,europe,0,LC
18138812,Melodichthys hadrocephalus,DD,europe,NA,DD
154798,Thalassobathia pelagica,DD,europe,NA,DD
198634,Callionymus lyra,LC,europe,0,LC
198635,Callionymus maculatus,LC,europe,0,LC
198554,Callionymus reticulatus,LC,europe,0,LC
198637,Callionymus risso,LC,europe,0,LC
198772,Alectis alexandrina,LC,europe,0,LC
198640,Campogramma glaycos,LC,europe,0,LC
154807,Caranx crysos,LC,europe,0,LC
198641,Caranx rhonchus,DD,europe,NA,DD
198642,Lichia amia,LC,europe,0,LC
190452,Naucrates ductor,LC,europe,0,LC
190070,Pseudocaranx dentex,LC,europe,0,LC
18158331,Selene dorsalis,NA,europe,NA,NA
198643,Seriola dumerili,LC,europe,0,LC
190139,Seriola fasciata,LC,europe,0,LC
16507347,Seriola rivoliana,LC,europe,0,LC
198644,Trachinotus ovatus,LC,europe,0,LC
198645,Trachurus mediterraneus,LC,europe,0,LC
198646,Trachurus picturatus,LC,europe,0,LC
198647,Trachurus trachurus,LC,europe,0,LC
198624,Carapus acus,LC,europe,0,LC
18138815,Echiodon drummondii,LC,europe,0,LC
18158445,Platyberyx opalescens,DD,europe,NA,DD
198571,Centrolophus niger,LC,europe,0,LC
155081,Hyperoglyphe perciformis,DD,europe,NA,DD
198648,Schedophilus medusophagus,LC,europe,0,LC
190446,Schedophilus ovalis,LC,europe,0,LC
198649,Cepola macrophthalma,LC,europe,0,LC
18258072,Entelurus aequoreus,LC,europe,0,LC
132722,Epinephelus aeneus,DD,europe,NA,DD
132796,Mycteroperca caninus,LC,europe,0,LC
132762,Mycteroperca costae,DD,europe,NA,DD
7859,Mycteroperca marginata,EN,europe,0.6,EN
132828,Hyporthodus haifensis,DD,europe,NA,DD
14054,Mycteroperca rubra,LC,europe,0,LC
186106,Acantholabrus palloni,LC,europe,0,LC
187803,Centrolabrus exoletus,LC,europe,0,LC
187751,Ctenolabrus rupestris,LC,europe,0,LC
187398,Labrus bergylta,LC,europe,0,LC
187541,Labrus merula,LC,europe,0,LC
187397,Labrus mixtus,LC,europe,0,LC
187654,Labrus viridis,VU,europe,0.4,VU
190710,Sparisoma cretense,LC,europe,0,LC
187522,Symphodus bailloni,LC,europe,0,LC
187714,Symphodus cinereus,LC,europe,0,LC
187475,Symphodus mediterraneus,LC,europe,0,LC
187748,Symphodus melops,LC,europe,0,LC
187653,Symphodus roissali,LC,europe,0,LC
187805,Symphodus tinca,LC,europe,0,LC
187418,Thalassoma pavo,LC,europe,0,LC
187696,Xyrichtys novacula,LC,europe,0,LC
198670,Lobotes surinamensis,LC,europe,0,LC
190116,Luvarus imperialis,LC,europe,0,LC
198671,Dicentrarchus punctatus,LC,europe,0,LC
198673,Mullus barbatus,LC,europe,0,LC
18127741,Ceratias holboelli,LC,europe,0,LC
190067,Cryptopsaras couesii,LC,europe,0,LC
190064,Chaunax pictus,LC,europe,0,LC
18127783,Chaunax suttkusi,LC,europe,0,LC
194967,Chlopsis bicolor,LC,europe,0,LC
198726,Citharus linguatula,LC,europe,0,LC
185155,Clinitrachus argentatus,LC,europe,0,LC
155123,Clupea harengus,LC,europe,0,LC
198580,Sardina pilchardus,NT,europe,0.2,NT
198581,Sardinella aurita,LC,europe,0,LC
198582,Sardinella maderensis,LC,europe,0,LC
194968,Ariosoma balearicum,LC,europe,0,LC
198583,Sprattus sprattus,LC,europe,0,LC
194970,Gnathophis mystax,LC,europe,0,LC
18227468,Artediellus atlanticus,LC,europe,0,LC
18228245,Gymnocanthus tricuspis,LC,europe,0,LC
18237044,Icelus bicornis,LC,europe,0,LC
18237151,Micrenophrys lilljeborgii,LC,europe,0,LC
198741,Taurulus bubalis,LC,europe,0,LC
18237248,Triglops murrayi,LC,europe,0,LC
18237257,Triglops pingelii,LC,europe,0,LC
18237363,Cyclopteropsis mcalpini,DD,europe,NA,DD
18237406,Cyclopterus lumpus,NT,europe,0.2,NT
18227109,Cyema atrum,LC,europe,0,LC
198727,Symphurus ligulatus,LC,europe,0,LC
198728,Symphurus nigrescens,LC,europe,0,LC
185182,Dactylopterus volitans,LC,europe,0,LC
155093,Derichthys serpentinus,LC,europe,0,LC
199401,Nessorhamphus ingolfianus,LC,europe,0,LC
18127809,Bufoceratias wedli,DD,europe,NA,DD
193752,Chilomycterus reticulatus,LC,europe,0,LC
193668,Diodon hystrix,DD,europe,NA,DD
18124015,Diretmus argenteus,LC,europe,0,LC
18158483,Centrodraco acanthopoma,LC,europe,0,LC
155068,Remora brachyptera,NA,europe,NA,NA
190080,Remora osteochir,LC,europe,0,LC
198651,Remora remora,LC,europe,0,LC
198568,Engraulis encrasicolus,LC,europe,0,LC
198555,Epigonus constanciae,LC,europe,0,LC
198652,Epigonus denticulatus,LC,europe,0,LC
18227119,Eurypharynx pelecanoides,LC,europe,0,LC
194995,Evermannella balbo,LC,europe,0,LC
198576,Cheilopogon heterurus,LC,europe,0,LC
155104,Cheilopogon pinnatibarbatus,LC,europe,0,LC
190163,Exocoetus obtusirostris,LC,europe,0,LC
198566,Exocoetus volitans,LC,europe,0,LC
183776,Hirundichthys rondeletii,LC,europe,0,LC
190292,Hirundichthys speculiger,LC,europe,0,LC
15522140,Coryphaenoides leptolepis,LC,europe,0,LC
198650,Remora australis,NA,europe,NA,NA
18125034,Boreogadus saida,LC,europe,0,LC
198584,Gadiculus argenteus,LC,europe,0,LC
18159121,Aphia minuta,LC,europe,0,LC
18126034,Kumba dentoni,DD,europe,NA,DD
18258863,Gadus chalcogrammus,NT,europe,0.2,NT
8784,Gadus morhua,LC,europe,0,LC
13045,Melanogrammus aeglefinus,LC,europe,0,LC
198585,Merlangius merlangus,LC,europe,0,LC
18125103,Pollachius pollachius,LC,europe,0,LC
190304,Pollachius virens,LC,europe,0,LC
18125145,Raniceps raninus,LC,europe,0,LC
18125208,Trisopterus esmarkii,LC,europe,0,LC
198587,Trisopterus luscus,LC,europe,0,LC
49937576,Trisopterus minutus,LC,europe,0,LC
190287,Lepidocybium flavobrunneum,DD,europe,NA,DD
18158583,Nesiarchus nasutus,LC,europe,0,LC
16509297,Promethichthys prometheus,LC,europe,0,LC
190432,Ruvettus pretiosus,LC,europe,0,LC
18258584,Apletodon bacescui,LC,europe,0,LC
198771,Apletodon dentatus,LC,europe,0,LC
198605,Apletodon incognitus,LC,europe,0,LC
198606,Diplecogaster bimaculata,LC,europe,0,LC
198607,Lepadogaster candolii,LC,europe,0,LC
198656,Deltentosteus quadrimaculatus,LC,europe,0,LC
198658,Gobius cobitis,LC,europe,0,LC
198660,Gobius cruentatus,LC,europe,0,LC
198570,Gobius niger,LC,europe,0,LC
198662,Gobius paganellus,LC,europe,0,LC
18160428,Lesueurigobius sanzi,LC,europe,0,LC
198666,Lesueurigobius suerii,LC,europe,0,LC
190176,Bonapartia pedaliota,LC,europe,0,LC
18252612,Cyclothone acclinidens,LC,europe,0,LC
190300,Cyclothone alba,LC,europe,0,LC
198757,Cyclothone braueri,LC,europe,0,LC
18252616,Cyclothone livida,LC,europe,0,LC
190133,Cyclothone microdon,LC,europe,0,LC
18252619,Cyclothone pallida,LC,europe,0,LC
18252629,Cyclothone pseudopallida,LC,europe,0,LC
190471,Gonostoma denudatum,LC,europe,0,LC
18252718,Gonostoma elongatum,LC,europe,0,LC
18252849,Margrethia obtusirostra,LC,europe,0,LC
18252853,Sigmops bathyphilus,LC,europe,0,LC
195838,Aldrovandia phalacra,LC,europe,0,LC
195840,Halosauropsis macrochir,LC,europe,0,LC
195843,Halosaurus johnsonianus,LC,europe,0,LC
195844,Halosaurus ovenii,LC,europe,0,LC
18127828,Himantolophus compressus,DD,europe,NA,DD
18127836,Himantolophus groenlandicus,DD,europe,NA,DD
16447855,Sargocentron hastatum,NA,europe,NA,NA
13462751,Bathypterois dubius,LC,europe,0,LC
194992,Bathypterois grallator,LC,europe,0,LC
190243,Bathypterois longipes,LC,europe,0,LC
198561,Kyphosus sectatrix,DD,europe,NA,DD
195038,Lampris guttatus,LC,europe,0,LC
15601934,Leptochilichthys agassizii,LC,europe,0,LC
18237502,Careproctus aciculipunctatus,DD,europe,NA,DD
18237516,Careproctus merretti,DD,europe,NA,DD
