Source,Species,Taxa,Continent,CulturalGroup,Biological status,Cultural status,Biocultural status
literature,Oncorhynchus gorbuscha,Fish,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Oncorhynchus kisutch,Fish,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Oncorhynchus nerka,Fish,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Oncorhynchus tshawytscha,Fish,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Picea glauca,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Picea mariana,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
survey,Pinus monophylla,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature/survey,Pinus strobus,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Porphyra abbottiae,Algae,North America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Pycnoporus sanguineus,Fungi,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature/survey,Quercus kelloggii,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Rothschildia cincta,Insect,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Rubus cuneifolius,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Sagittaria latifolia,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Salmo salar,Fish,North America,Indigenous People,Least Concern,Endangered,Endangered
survey,Schoenoplectus acutus,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Shepherdia canadensis,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Tamiasciurus hudsonicus,Mammal,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Thaleichthys pacificus,Fish,North America,Indigenous People,Least Concern,Endangered,Endangered
survey,Thuja occidentalis,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature/survey,Thuja plicata,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Trifolium wormskioldii,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Tympanuchus phasianellus,Bird,North America,Indigenous People,Least Concern,Endangered,Endangered
survey,Vaccinium angustifolium,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Vaccinium caespitosum,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature/survey,Vaccinium myrtilloides,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Vaccinium oxycoccos,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature/survey,Vaccinium uliginosum,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Vaccinium vitis-idaea,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Viburnum edule,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Zizania aquatica,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Acacia aneura,Plant,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Agrotis infusa,Insect,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Anguilla australis,Fish,Oceania,Indigenous People,Near Threatened,Endangered,Endangered
literature,Anguilla reinhardtii,Fish,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Ardenna grisea,Bird,Oceania,Indigenous People,Near Threatened,Endangered,Endangered
literature,Arripis trutta,Fish,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Austrovenus stutchburyi,Mollusk,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Camponotus inflatus,Insect,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Casuarius casuarius,Bird,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Cherax cainii,Crustacean,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Cherax destructor,Crustacean,Oceania,Indigenous People,Vulnerable,Endangered,Endangered
literature,Cordyline australis,Plant,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Duboisia hopwoodii,Plant,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Duboisia leichhardtii,Plant,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Dugong dugon,Mammal,Oceania,Indigenous People,Vulnerable,Endangered,Endangered
literature,Echyridella menziesii,Mollusk,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Endoxyla leucomochla,Insect,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Euastacus armatus,Crustacean,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Hemiphaga novaeseelandiae,Bird,Oceania,Indigenous People,Near Threatened,Endangered,Endangered
literature,Jasus edwardsii,Crustacean,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Maccullochella peelii,Fish,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Paranephrops planifrons,Crustacean,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Paranephrops zealandicus,Crustacean,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Perna canaliculus,Mollusk,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Piper excelsum,Plant,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Pterodroma macroptera gouldi,Bird,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Santalum acuminatum,Plant,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Solanum centrale,Plant,Oceania,Indigenous People,Data Deficient,Endangered,Endangered
literature,Sphenodon punctatus,Reptile,Oceania,Indigenous People,Least Concern,Endangered,Endangered
survey,Achyrocline alata,Plant,South America,Indigenous People,Data Deficient,Endangered,Endangered
literature/survey,Arapaima gigas,Fish,South America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Aristotelia chilensis,Plant,South America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Bactris gasipaes,Plant,South America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Berberis microphylla,Plant,South America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Boquila trifoliolata,Plant,South America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Geonoma deversa,Plant,South America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Ilex guayusa,Plant,South America,Indigenous People,Least Concern,Endangered,Endangered
survey,Maquira coriacea,Plant,South America,Indigenous People,Least Concern,Endangered,Endangered
survey,Oritrophium crocifolium,Plant,South America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Piper marginatum,Plant,South America,Ethnic group,Data Deficient,Endangered,Endangered
survey,Theobroma bicolor,Plant,South America,Indigenous People,Least Concern,Endangered,Endangered
survey,Cedrus atlantica,Plant,Africa,Ethnic group,Endangered,Endangered,Endangered
survey,Afzelia xylocarpa,Plant,Asia,Indigenous People,Endangered,Endangered,Endangered
survey,Dendrolagus pulcherrimus,Mammal,Asia,Indigenous People,Critically Endangered,Endangered,Endangered
survey,Ambystoma mexicanum,Plant,North America,Indigenous People,Critically Endangered,Endangered,Endangered
literature/survey,Anguilla rostrata,Fish,North America,Indigenous People,Endangered,Endangered,Endangered
literature/survey,Fraxinus nigra,Plant,North America,Indigenous People,Critically Endangered,Endangered,Endangered
literature,Fraxinus pennsylvanica,Plant,North America,Indigenous People,Critically Endangered,Endangered,Endangered
survey,Glyptemys muhlenbergii,Reptile,North America,Indigenous People,Critically Endangered,Endangered,Endangered
literature,Haliotis kamtschatkana,Mollusk,North America,Indigenous People,Endangered,Endangered,Endangered
literature,Anguilla dieffenbachii,Fish,Oceania,Indigenous People,Endangered,Endangered,Endangered
literature,Burramys parvus,Mammal,Oceania,Indigenous People,Critically Endangered,Endangered,Endangered
literature,Cherax tenuimanus,Crustacean,Oceania,Indigenous People,Critically Endangered,Endangered,Endangered
survey,Araucaria araucana,Plant,South America,Indigenous People,Endangered,Endangered,Endangered
survey,Balanites maughamii subsp. maughamii,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Ceratotherium simum,Mammal,Africa,Local community,Near Threatened,Not Threatened,Not threatened
literature,Cercopithecus mona,Mammal,Africa,Ethnic group,Near Threatened,Not Threatened,Not threatened
literature,Chlorocebus tantalus,Mammal,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Clausena anisata,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Cordyla pinnata,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Parkia biglobosa,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Ptaeroxylon obliquum,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Tabernanthe iboga,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
literature/survey,Vachellia tortilis,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Ziziphus mucronata,Plant,Africa,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Acer palmatum,Plant,Asia,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Acer truncatum,Plant,Asia,Local community,Least Concern,Not Threatened,Not threatened
survey,Aegle marmelos,Plant,Asia,Local community,Near Threatened,Not Threatened,Not threatened
survey,Azadirachta indica,Plant,Asia,Local community,Least Concern,Not Threatened,Not threatened
survey,Biancaea sappan,Plant,Asia,Indigenous People,Least Concern,Not Threatened,Not threatened
survey,Bromheadia finlaysoniana,Plant,Asia,Indigenous People,Least Concern,Not Threatened,Not threatened
literature,Capra sibirica,Mammal,Asia,Several socio-cultural groups,Near Threatened,Not Threatened,Not threatened
literature,Castanea mollissima,Plant,Asia,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Ficus benjamina,Plant,Asia,Ethnic group,Least Concern,Not Threatened,Not threatened
literature,Mitragyna speciosa,Plant,Asia,Indigenous People,Least Concern,Not Threatened,Not threatened
survey,Nypa fruticans,Plant,Asia,Indigenous People,Least Concern,Not Threatened,Not threatened
literature,Ovis ammon polii,Mammal,Asia,Ethnic group,Near Threatened,Not Threatened,Not threatened
literature,Pinus massoniana,Plant,Asia,Ethnic group,Least Concern,Not Threatened,Not threatened
literature,Platycladus orientalis,Plant,Asia,Ethnic group,Near Threatened,Not Threatened,Not threatened
survey,Streblus asper,Plant,Asia,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Terminalia bellirica,Plant,Asia,Several socio-cultural groups,Least Concern,Not Threatened,Not threatened
literature,Angelica sylvestris,Plant,Europe,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Asparagus acutifolius,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Asparagus albus,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
literature,Balaenoptera acutorostrata,Mammal,Europe,Indigenous People,Least Concern,Not Threatened,Not threatened
literature,Betula nana,Plant,Europe,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Betula pendula,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Betula pubescens,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
literature,Castanea sativa,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
literature/survey,Ciconia ciconia,Bird,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Coris julis,Fish,Europe,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Dactylorhiza sambucina,Plant,Europe,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Engraulis encrasicolus,Fish,Europe,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Grus grus,Bird,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Orchis mascula,Plant,Europe,Ethnic group,Least Concern,Not Threatened,Not threatened
survey,Phoenix canariensis,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
literature,Picea abies,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Pusa hispida,Mammal,Europe,Indigenous People,Least Concern,Not Threatened,Not threatened
survey,Quercus robur,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Quercus rotundifolia,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Sparisoma cretense,Fish,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Urtica dioica,Plant,Europe,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
survey,Ardea herodias,Bird,North America,Other socio-cultural group,Least Concern,Not Threatened,Not threatened
literature,Cuniculus paca,Mammal,North America,Several socio-cultural groups,Least Concern,Not Threatened,Not threatened
literature/survey,Odocoileus virginianus,Mammal,North America,Several socio-cultural groups,Least Concern,Not Threatened,Not threatened
literature,Pecari tajacu,Mammal,North America,Several socio-cultural groups,Least Concern,Not Threatened,Not threatened
literature,Metroxylon sagu,Plant,Oceania,Indigenous People,Least Concern,Not Threatened,Not threatened
literature,Anadenanthera colubrina,Plant,South America,Local community,Least Concern,Not Threatened,Not threatened
literature,Ilex paraguariensis,Plant,South America,Indigenous People,Near Threatened,Not Threatened,Not threatened
survey,Lasiancistrus heteracanthus,Fish,South America,Local community,Least Concern,Not Threatened,Not threatened
survey,Macleania rupestris,Plant,South America,Local community,Least Concern,Not Threatened,Not threatened
survey,Maytenus macrocarpa,Plant,South America,Local community,Least Concern,Not Threatened,Not threatened
literature,Mazama gouazoubira,Mammal,South America,Local community,Least Concern,Not Threatened,Not threatened
survey,Panaqolus dentex,Fish,South America,Local community,Least Concern,Not Threatened,Not threatened
survey,Phytelephas aequatorialis,Plant,South America,Local community,Near Threatened,Not Threatened,Not threatened
literature,Sideroxylon obtusifolium,Plant,South America,Local community,Least Concern,Not Threatened,Not threatened
survey,Bucorvus leadbeateri,Bird,Africa,Ethnic group,Vulnerable,Not Threatened,Vulnerable
literature/survey,Panthera leo,Mammal,Africa,Ethnic group,Vulnerable,Vulnerable,Vulnerable
literature/survey,Panthera pardus,Mammal,Africa,Ethnic group,Vulnerable,Vulnerable,Vulnerable
literature,Smutsia temminckii,Mammal,Africa,Ethnic group,Vulnerable,Vulnerable,Vulnerable
survey,Thymus saturejoides,Plant,Africa,Ethnic group,Vulnerable,Vulnerable,Vulnerable
survey,Vitellaria paradoxa,Plant,Africa,Ethnic group,Vulnerable,Data Deficient,Vulnerable
literature,Ephedra gerardiana,Plant,Asia,Ethnic group,Vulnerable,Vulnerable,Vulnerable
survey,Lutrogale perspicillata,Mammal,Asia,Local community,Vulnerable,Vulnerable,Vulnerable
literature,Panthera uncia,Mammal,Asia,Several socio-cultural groups,Vulnerable,Not Threatened,Vulnerable
survey,Saraca asoca,Plant,Asia,Local community,Vulnerable,Not Threatened,Vulnerable
literature,Balaenoptera physalus,Mammal,Europe,Indigenous People,Vulnerable,Not Threatened,Vulnerable
survey,Ovis orientalis,Mammal,Europe,Other socio-cultural group,Vulnerable,Not Threatened,Vulnerable
survey,Caretta caretta,Reptile,Global,Several socio-cultural groups,Vulnerable,Vulnerable,Vulnerable
literature/survey,Dermochelys coriacea,Reptile,Global,Several socio-cultural groups,Vulnerable,Vulnerable,Vulnerable
literature,Lepidochelys olivacea,Reptile,North America,Local community,Vulnerable,Not Threatened,Vulnerable
survey,Lophophora williamsii,Plant,North America,Indigenous People,Vulnerable,Vulnerable,Vulnerable
survey,Metrosideros polymorpha,Plant,North America,Indigenous People,Vulnerable,Vulnerable,Vulnerable
literature/survey,Rangifer tarandus,Mammal,North America,Indigenous People,Vulnerable,Vulnerable,Vulnerable
literature,Ursus maritimus,Mammal,North America,Indigenous People,Vulnerable,Vulnerable,Vulnerable
literature,Epinephelus polyphekadion,Fish,Oceania,Indigenous People,Vulnerable,Not Threatened,Vulnerable
literature,Ateles paniscus,Mammal,South America,Indigenous People,Vulnerable,Vulnerable,Vulnerable
survey,Bertholletia excelsa,Plant,South America,Indigenous People,Vulnerable,Vulnerable,Vulnerable
