"FAO_name","include","Taxon_code","family","notes","notes_2","X","X.1","X.2"
"[Meristotheca senegalense]",0,"AL","Algae","seaweed: human food"," - Type of red macroalgae with nutritional value for humans: [source](https://academicjournals.org/journal/AJFS/article-full-text/376F45B62073)
 - 0% proportion determined by article referenced above.",NA,NA,""
"Dulse",0.1,"AL","Algae","seaweed: human food/abalone feed"," - food use determined: [source](https://www.sciencedirect.com/science/article/pii/B9780124186972000131) [source](FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm, http://www.fao.org/3/a-y4765e.pdf)
 - fish feed use determined using FAO:[source](http://www.fao.org/3/a-y4765e.pdf) 
 - ""Pacific dulse (Palmaria mollis) has been found to be a valuable food for the red abalone, Haliotis rufescens, and development of land-based cultivation has been undertaken with a view to producing commercial quantities of the seaweed.""
 - Scientific name: Palmaria palmata
 - Common name: Dulse
 - 10% proportion determined by best guess.",NA,NA,""
"Elkhorn sea moss",0.99,"AL","Algae","seaweed: mixed use/carageenan"," - non-food use, primary carageenan use determined using Buschmann et al (also Kappaphycus alvarezii): [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175), [source](https://en.wikipedia.org/wiki/Kappaphycus_alvarezii)
 - food use (whole food supplement): [source](https://www.mdpi.com/2072-6643/9/11/1261/htm)
 - ""The rapid growth in the farming of tropical seaweed species (Kappaphycus alvarezii and Eucheuma spp.) in Indonesia as raw material for carrageenan extraction has been the major contributor to growth in farmed aquatic plant production in the recent past."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Kappaphycus alvarezii
 - Common name: Elkhorn sea moss 
 - 99% proportion determined by best guess.",NA,NA,""
"Eucheuma seaweeds nei",0.9,"AL","Algae","seaweed: mixed use, carageenan/human food"," - non-food use, primary carageenan use determined using Buschmann et al: [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175);
 - Seaweed and Man: [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22);
 - Seaweed Industry Association: [source](https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm, http://www.fao.org/3/a-y4765e.pdf)
 - food use determined using FAO: [source](http://www.fao.org/3/AC287E/AC287E01.htm) ""In some overseas countries, such as Indonesia and Philippines, Eucheuma seaweed is also eaten raw. People like to eat it fresh in salads.""
 - ""The rapid growth in the farming of tropical seaweed species (Kappaphycus alvarezii and Eucheuma spp.) in Indonesia as raw material for carrageenan extraction has been the major contributor to growth in  - farmed aquatic plant production in the recent past."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Eucheuma denticulatum, Kappaphycus alvarezii, Kappaphycus striatum
 - Common name: Eucheumoid algae, Eucheuma, Guso
 - 90% proportion determined by best guess.",NA,NA,""
"Fragile codium",0.1,"AL","Algae","seaweed: mixed use/medical/human food"," - non-food use determined using Seaweed Industry Association: [source](https://seaweedindustry.com), [source](https://www.sciencedirect.com/science/article/pii/B9780128133125000042) (""Codium fragile_ and Codium vermilara_derived water-soluble sulfated arabinogalactans prevented coagulation, but they induced platelet aggregation (Ciancia et al., 2007)."")
 - food use determined: [source](https://en.wikipedia.org/wiki/Codium_fragile), [source](http://www.eattheweeds.com/codiums-edible-around-the-world-2/)
 - Scientific name: Codium fragile
 - Common name: green sea fingers, dead man's fingers, felty fingers, forked felt-alga, stag seaweed, green fleece, oyster thief
 - 10% proportion determined by best guess.",NA,NA,""
"Fusiform sargassum",0,"AL","Algae","seaweed: human food"," - food use determined by Bushmann et al (fusiform sargassum also Hijiki or Sargassum fusiforme): [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175); [source](https://en.wikipedia.org/wiki/Hijiki) 
 - alternative names: [source](http://www.uniprot.org/taxonomy/590727)
 - Recent studies have shown that hijiki contains potentially toxic quantities of inorganic arsenic, and the food safety agencies of several countries (excluding Japan), including Canada, the United Kingdom, and the United States, have advised against its consumption.
 - Scientific name: Fusiform sargassum
 - Common name: Hijiki
 - 0% proportion determined by best guess.",NA,NA,""
"Gelidium seaweeds",0.8,"AL","Algae","seaweed: agar/human food"," - non-food use determined by FAO (most of agar comes from Gracilaria or Gelidium, but the Gelidium FAO data is from Korea where it is also consumed as food): [source](http://www.fao.org/3/a-y4765e.pdf); Frangoudes 2016 (Edible seaweed in Korea): [source](https://www.sciencedirect.com/science/article/pii/B9780128027721000026)
 - food and non-food use: https://en.wikipedia.org/wiki/Gelidium_amansii
 - 80% proportion determined by best guess.",NA,NA,""
"Giant kelp",0.9,"AL","Algae","seaweed: alginate/abalone feed/biomass for fuel/human food"," - non-food use determined by FAO (giant kelp produced in Chile are mostly bought by processors that turn it into alginate): [source](http://www.fao.org/3/a-y4765e.pdf)
 - food use determined: ""The primary commercial product obtained from giant kelp is alginate, but humans also harvest this species on a limited basis for use directly as food, as it is rich in iodine, potassium, and other minerals. It can be used in cooking in many of the ways other sea vegetables are used, and particularly serves to add flavor to bean dishes."" [source](https://en.wikipedia.org/wiki/Macrocystis_pyrifera)
 - Scientific name: Macrocystis pyrifera
 - Common name: Giant kelp
 - 90% proportion determined by best guess.",NA,NA,""
"Gracilaria seaweeds",0.75,"AL","Algae","seaweed mixed: agar/human food"," - non-food use, primary agar use determined using Buschmann et al: [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175); 
 - Seaweed and Man: [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22); 
 - Seaweed Industry Association: [source](https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - food use determined using FAO: [source](http://www.fao.org/3/a-y4765e.pdf) (""Gracilaria is sold to agar producers and some is used as food. For food consumption, the seaweed is usually gathered and sold fresh, locally. It is most common in South-East Asian countries such as Indonesia, Malaysia, the Philippines and southern Thailand, mainly in coastal communities. It is also popular with most ethnic groups in Hawaii, and is sold fresh in Honolulu markets as limu manauea or limu ogo."")
 - Scientific name: Gracilaria spp.
 - Common name: Gracilaria, Ogo
 - 75% proportion determined by best guess.",NA,NA,""
"Green laver",0.01,"AL","Algae","seaweed: human food"," - food use determined using Seaweed and Man (green laver is same as green nori but different country names): [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22); 
 - Seaweed Industry Association: [source](https://seaweedindustry.com)
 - FAO: [source](http://www.fao.org/docrep/006/y4765e/y4765e0b.htm), [source](http://www.fao.org/3/a-y4765e.pdf)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Porphyra spp. And Pyropia spp.
 - Common name: Nori, Laver
 - 1% proportion determined by best guess.",NA,NA,""
"Harpoon seaweeds",0.75,"AL","Algae","seaweed: cosmetic/antiparasitic/agar/human food/animal feed"," - non-food use deteremined by Netalgae.eu (75% of seaweed produced in France is processed): [source](http://www.netalgae.eu/uploadedfiles/11-09-12_poster_wp1_en.pdf); 
 - harpoon seaweed's scientific name is Asparagopsis armata, which is likely used in cosmetics: [source](https://link.springer.com/content/pdf/10.1007%2Fs10811-005-2799-5.pdf),  [source](https://www.roscara.com/wild-irish-seaweed-asparagopsis-armata/)
 - food use determined: [source](https://en.wikipedia.org/wiki/Asparagopsis), [source](https://en.wikipedia.org/wiki/Asparagopsis_taxiformis) (""Asparagopsis is one of the most popular types of limu.[3] in the cuisine of Hawaii, it is principally a condiment. It is known as Limu kohu in the Hawaiian language meaning ""pleasing seaweed"". Limu kohu is a traditional ingredient in poke."")
 - Scientific name: Asparagopsis spp.
 - Common name: Harpoon seaweed, harpoon weed, limu
 - 75% proportion determined by best guess.",NA,NA,""
"Japanese isinglass",0.95,"AL","Algae","seaweed: agar/human food"," - non-food use determined by Whittaker 1910 (japanese isinglass is a type of Gelidium seaweed): [source](https://ajph.aphapublications.org/doi/pdf/10.2105/AJPH.1.9.632); 
 - FAO (most of agar comes from Gracilaria or Gelidium, but the Gelidium FAO data is from Korea where it is also consumed as food): [source](http://www.fao.org/3/a-y4765e.pdf); 
 - Frangoudes 2016 (Edible seaweed in Korea): [source](https://www.sciencedirect.com/science/article/pii/B9780128027721000026)
 - Scientific name: Gelidium spp.
 - Common name: Japanese isinglass, agar agar
 - 95% proportion determined by best guess.",NA,NA,""
"Japanese kelp",0.1,"AL","Algae","seaweed: human food/alginates"," - food use determined using Buschmann et al: [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175); 
 - Seaweed and Man ( also likely Saccharina japonica or kombu): [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22); 
 - food use determined using Seaweed Industry Association: [source](https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - non food use determined: [source](https://en.wikipedia.org/wiki/Saccharina_japonica) (""Saccharina japonica is also used for the production of alginates, with China producing up to ten thousand tons of the product each year.""), 
 - ""The only exception is for Laminaria japonica, which is cultivated in China for food but sometimes surplus material is diverted to the alginate industry in China."" [source](http://www.fao.org/3/y4765e/y4765e07.htm)
 - Scientific name: Saccharina japonica (formerly Laminaria japonica)
 - Common name: Kombu
 - 10% proportion determined by best guess.",NA,NA,""
"Kelp nei",0.5,"AL","Algae","seaweed: mixed use"," - not in FAO mariculture data 5/4/18
 - 50% proportion based on best guess.",NA,NA,""
"Laver (Nori)",0.01,"AL","Algae","seaweed: human food"," - food use determined using Seaweed and Man (Porphyra or nori indicated as a high value food algae): [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22)
[source](http://www.fao.org/3/y4765e/y4765e0b.htm)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Porphyra spp. And Pyropia spp.
 - Common name: Nori, Laver
 - 1% proportion determined by best guess.",NA,NA,""
"Mozuku",0.01,"AL","Algae","seaweed: human food"," - food use determined by Tongafish.gov (most of Tonga production of mozuku is shipped to Japanese market where it is used for the food market, some amounts are shipped elsewhere for use in homeopathic purposes, but unsure how much): [source](http://www.tongafish.gov.to/images/documents/Management%20Plans/Approved%20Seaweed%20Management%20Plan%202012-2013.pdf)
[source](http://www.fao.org/3/y4765e/y4765e0b.htm)
 - 1% proportion determined by best guess.",NA,NA,""
"Nori nei",0.01,"AL","Algae","seaweed: human food"," - food use determined using Seaweed and Man (Porphyra or nori indicated as a high value food algae): [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Porphyra spp. And Pyropia spp.
 - Common name: Nori, Laver
 - 1% proportion determined by best guess.",NA,NA,""
"Red seaweeds",0.75,"AL","Algae","seaweed: agar/carrageenan/human food"," - non-food and food use determined using FAO (red algae in Indonesia and Portugal mostly agar-containing seaweeds) (The main uses of red seaweeds are as food and as sources of two hydrocolloids: agar and carrageenan): [source](http://www.fao.org/3/a-y4765e.pdf)
 - 75% proportion based on best guess.",NA,NA,""
"Sea belt",0.95,"AL","Algae","seaweed: mixed use/cosmetics/animal feed/human food"," - non-food and food use determined using SINTEF Fisheries and Aquaculture Norway (sea belt is also Saccharina latissima or sugar kelp, mostly used for processed agar in Norway, food market growing but seems to be small): [source](https://www.innovasjonnorge.no/contentassets/95273c625e1c4b4caf8b4d0a36020dc0/2014-sintef---seaweed-in-the-bioeconomy.pdf); 
 - not mentioned as a main use in Forbord et al 2012: [source](https://link.springer.com/article/10.1007/s10811-011-9784-y)
 - Scientific name: Saccharina latissima
 - Common name: sea belt, sugar kelp
 - 95% proportion based on best guess.",NA,NA,""
"Seaweeds nei",0.15,"AL","Algae","seaweed"," - food use determined using production value range and variety of countries - since most seaweeds are used for human consumption
 - 15% proportion determined by best guess.",NA,NA,""
"Spiny eucheuma",0.9,"AL","Algae","seaweed:carrageenan"," - non-food use, primary carageenan use determined using Buschmann et al: [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175); 
 - Seaweed and Man: [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22); 
 - Seaweed Industry Association: [source](https://seaweedindustry.com) 
 - FAO: [source](http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - food use: ""E. denticulatum can also be eaten fresh or blanched in boiling water and mixed with salad garnish, or made into ""Eucheuma candy"" or ""kue"" by cooking in water until a gel is formed, whereafter sugar is added. It is used as garnish for other dishes such as fish. In Lombok (Indonesia) about 400 t (wet weight) of E. denticulatum is used annually to prepare a boiled foodstuff, wrapped in banana leaf and known as ""pencok""."" [source](https://uses.plantnet-project.org/en/Eucheuma_denticulatum_(PROSEA)#:~:text=denticulatum%20can%20also%20be%20eaten,other%20dishes%20such%20as%20fish)
 - Scientific name: Eucheuma denticulatum
 - Common name: Spiny eucheuma
 - 90% proportion determined by best guess.",NA,NA,""
"Tangle",0.99,"AL","Algae","industrial uses"," - non-food use determined by Irishseaweeds (tangle is Laminaria digitata): [source](http://www.irishseaweeds.com/kelp-laminaria-digitata/); 
 - biotech use: [source](http://www.bim.ie/our-work/projects/developing,irish,seaweed,farming,for,high,value,products/)
 - ""Laminaria digitata in France is the main raw material for the alginate industry."" [source](http://www.fao.org/3/y4765e/y4765e07.htm)
food use determined: [source](https://gallowaywildfoods.com/forest-kelp-and-oarweed-edibility-identification-distribution/#:~:text=Edible%20Uses%3A%20Unless%20you%20harvest,body%20and%20depth%20of%20flavour).
 - Scientific name: Laminaria digitata
 - Common name: tangle, tangleweed, oarweed
 - 99% proportion determined by best guess.",NA,NA,""
"Wakame",0.01,"AL","Algae","seaweed: human food/abalone feed"," - food use determined using Buschmann et al (wakame is undaria): [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175); 
 - Seaweed Industry Association: [source](https://seaweedindustry.com) 
 - FAO: [source](http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Undaria pinnatifida
 - Common name: Wakame
 - 1% proportion determined by best guess.",NA,NA,""
"Wakame nei",0.01,"AL","Algae","seaweed: human food/abalone feed"," - food use determined using Buschmann et al (wakame is undaria): [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175); 
 - Seaweed Industry Association: [source](https://seaweedindustry.com)
 - FAO: [source](http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Undaria pinnatifida
 - Common name: Wakame
 - 1% proportion determined by best guess.",NA,NA,""
"Warty gracilaria",0.95,"AL","Algae","seaweed: agar/human food/abalone feed"," - non-food and food use determined by FAO: ""Gracilaria is used as food and in the preparation of food products."" ""The principal product of Gracilaria is agar. "" ""Unknown quantities of Gracilaria are used in several places (e.g. Japan, China, Hawaii, St. Lucia) in the fresh vegetable market for human consumption. There, Gracilaria prices can be high (e.g. 5-7 USD /kg) although the volumes consumed are relatively low (e.g. a few tonnes per year)."" ""The use of Gracilaria as marine invertebrate feed has developed in Asia, especially in the fish pond system of Taiwan Province of China, leading to development of polycultures of Gracilaria and abalone which uses Gracilaria as the sole source of food of these gastropods. In the past the emphasis was to produce Gracilaria biomass for agar production. Now it is more profitable for the pond operators to supply their Gracilaria as fresh food to abalone farmers."" [source](http://www.fao.org/fishery/culturedspecies/Gracilaria_spp/en)
 - Scientific name: Gracilaria gracilis (previously Gracilaria verrucosa)
 - Common name: Warty gracilaria
 - 95% proportion determined by best guess.",NA,NA,""
"Giant kelps nei",0.9,"AL","Algae","seaweed"," - non-food use determined by FAO (giant kelp produced in Chile are mostly bought by processors that turn it into alginate): [source](http://www.fao.org/3/a-y4765e.pdf)
 - 90% proportion based on best guess.",NA,NA,""
"Green seaweeds",0.75,"AL","Algae","seaweed: mixed use"," - non-food use determined using Soares et al 2017 (sounds like using seaweed as food still underutilized or growing in Portugal): [source](http://iopscience.iop.org/article/10.1088/1757-899X/231/1/012126/pdf); fertilizers, fish feed, wastewater treatment [source](http://www.fao.org/3/y4765e/y4765e0c.htm)
 - food use: [source](http://www.fao.org/3/y4765e/y4765e0b.htm)
 - includes: green laver, sea lettuce
 - 75% proportion determined by best guess.",NA,NA,""
"Coarse seagrape",0,"AL","Algae","seaweed: human food"," - food use determined using the Ministry of Marine Resources Government of the Cook Islands (seagrape is a Caulerpa): [source](https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/88/8824bd3fd3cd8612e947eb8257e50c95.pdf?sv=2015-12-11&sr=b&sig=DrP8Q7fZlTwWVDh43O6kLr3KhZGuViZKLeHWCGMydCw%3D&se=2018-10-30T20%3A45%3A25Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Anon_00_CookIslands_BasicInfo.pdf%22); 
 - FAO manual: [source](http://www.fao.org/docrep/field/003/ac417e/AC417E00.htm)
 - Scientific name: Caulerpa racemosa
 - Common name: Coarse seagrape
 - 0% proportion determined by best guess.",NA,NA,""
"[Sargassum spp]",0.99,"AL","Algae","seaweed: fertilizer/animal food/medicine/biofuel/alginate/human food"," - non-food use determined using FAO (most brown kelps used for alginate due to high concentration in tissues): [source](http://www.fao.org/3/a-y4765e.pdf); 
 - Sargassum in Mexico specifically: [source](https://www.e-algae.org/journal/view.php?number=2819)
 - ""Sargassum, is only used when nothing else is available: its alginate is usually borderline quality and the yield usually low."" ""Sargassum is collected on the south coast of Java (Indonesia) and in the Philippines. In the former country it is used for alginate production while in the latter there are pilot studies for its use in alginate production, but its present use is to produce seaweed meal for animal feed."" [source](http://www.fao.org/3/y4765e/y4765e07.htm)
 - food use determined: ""More so, among seaweeds Sargassum is not a prime edible but a plentiful one."" [source](http://www.eattheweeds.com/sargassum-not-just-for-breakfast-any-more-2/#:~:text=More%20so%2C%20among%20seaweeds%20Sargassum,edible%20but%20a%20plentiful%20one.&text=Sargassum%20is%20also%20eaten%20by,in%20water%20like%20a%20vegetable.)
 - 99% proportion determined by best guess.",NA,NA,""
"Spirulina nei",0.3,"AL","Algae","seaweed: human food/animal feed"," - non-food use determined using Seaweed Industry Association: [source](https://seaweedindustry.com) and FAO: [source](http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - 30% proportion determined by Spirulina maxima.",NA,NA,""
"[Dunaliella salina]",1,"AL","Algae","seaweed: cosmetics/dietary supplements"," - used in B-carotene, lutein, fatty acids, etc [source](https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/dunaliella)
 - ""Known for its antioxidant activity because of its ability to create large amount of carotenoids, it is used in cosmetics and dietary supplements."" [source](https://en.wikipedia.org/wiki/Dunaliella_salina)
 - 100% proportion determined by best guess.",NA,NA,""
"[Capsosiphon fulvescens]",0.1,"AL","Algae","seaweed: human food/medicine"," - used as traditional medicine: ""It has been consumed as food with unique flavor and soft texture to treat stomach disorders and hangovers"" [source](https://www.hindawi.com/journals/bmri/2016/1462916/)
 - ""These results suggest that C. fulvescens has greater potential to be used as human food and as an ingredient in formulated food."" ""Capsosiphon fulvescens is filamentous green seaweed traditionally eaten in the southwestern regions of Korea"" [source](https://www.researchgate.net/publication/225622961_Assessment_of_the_nutritional_value_of_Capsosiphon_fulvescens_Chlorophyta_Developing_a_new_species_of_marine_macroalgae_for_cultivation_in_Korea)
 - 10% proportion determined by best guess.",NA,NA,""
"Slender wart weed",0.75,"AL","Algae","seaweed: agar/human food/fish feed"," - food and non-food use determined: ""Gracilaria is a genus of red algae (Rhodophyta) notable for its economic importance as an agarophyte, as well as its use as a food for humans and various species of shellfish. Various species within the genus are cultivated among Asia, South America, Africa and Oceania."" [source](https://en.wikipedia.org/wiki/Gracilaria)
 - Scientific name: Gracilaria gracilis
 - Common name: slender wart weed
 - 75% proportion determined by Gracilaria seaweeds.",NA,NA,""
"[Macrocystis integrifolia]",0.001,"AL","Algae","seaweed: human food/alginates"," - food use determined https://www.centralcoastbiodiversity.org/giant-perennial-kelp-bull-macrocystis-integrifolia.html
 - 1% proportion determined by best guess.",NA,NA,""
"[Cladosiphon okamuranus]",0.1,"AL","Algae","seaweed: human food/medicine"," - food use determined https://en.wikipedia.org/wiki/Cladosiphon_okamuranus - sometimes used to treat cancer",NA,NA,""
"[Eucheuma isiforme]",0.8,"AL","Solieriaceae","seaweed: human food/cosmetics/food processing"," non-food use determined using Wikipedia",NA,NA,""
"Skottsberg's gigartina",1,"AL","Algae","seaweed: agar/carrageenan/human food"," - non-food and food use determined using FAO (red algae in Indonesia and Portugal mostly agar-containing seaweeds) (The main uses of red seaweeds are as food and as sources of two hydrocolloids: agar and carrageenan): [source](http://www.fao.org/3/a-y4765e.pdf)
 - excluded because already present as Red seaweeds which is included as 0.75",NA,NA,""
"Green sea feather",0.2,"AL","Caulerpaceae","used as food and medicine"," - food use determined https://sealifebase.nrm.se/summary/Caulerpa-sertularioides.html, used as food and medicine, estmated proportion to exclude at .2",NA,NA,""
"SOLIERIACEAE",0.75,"AL","Algae","used red seaweed include value","",NA,NA,""
