Reference,Data Type,Study Location,Deg N,Deg E,Study Years,Marsh Habitat,Accretion rate (mm/y),SLR Rate (mm/y)
Craft et al. 1993,Radiometric,"Oregon Inlet, NC, USA",35.749,-75.513,1963-1988,High,0.9,1.9
Delaune et al. 1978,Radiometric,"Barataria Basin, LA, USA",29.21667,-90.11667,1954-1978,High,7.5,12.05
Dyer et al. 2002,Radiometric,"Ritthem, Westerschelde Estuary, Netherlands",51.45048,3.64794,1963-1998,High,5.6,2.2
Elsey-Quirk et al. 2011,Radiometric,"Little Assawoman Bay, DE, USA",38.41667,75.06667,1964-2006,High,1.9,2.5
Haslett et al. 2003,Radiometric,"Havre de Carteret, Normandy, France",49.37499,-1.77735,1930-1997,High,4.1,3.9
Haslett et al. 2003,Radiometric,"Havre de Carteret, Normandy, France",49.37499,-1.77735,1902-2000,High,4.4,3.9
Haslett et al. 2003,Radiometric,"Havre de Lessay, Normandy, France",49.22119,-1.60455,1930-1997,High,6.3,3.9
Haslett et al. 2003,Radiometric,"Havre de Surville, Normandy, France",49.28612,-1.66574,1902-1997,High,7.7,3.9
Hatton et al. 1983,Radiometric,"Barataria Basin, LA, USA",29.23368,-90.03592,1963-1983,High,7.5,11
Kirchner & Ehlers 1998,Radiometric,"Sylt, Germany",54.89221,8.37482,1963-1992,High,10.1,2.5
Kirchner & Ehlers 1998,Radiometric,"Sylt, Germany",54.89221,8.37482,1963-1992,High,9.3,2.5
Kirchner & Ehlers 1998,Radiometric,"Sylt, Germany",54.89221,8.37482,1963-1992,High,13.6,2.5
Kolker et al. 2009,Radiometric,"Hubbard County Park, Long Island, NY, USA",40.90119,-72.57887,1900-2003,High,2.8,3
Kolker et al. 2009,Radiometric,"Carmans River, Long Island, NY, USA",40.77456,-72.89297,1900-2003,High,2.98,3
Kolker et al. 2009,Radiometric,"Hempstead Bay, Long Island, NY, USA",40.62047,-73.52434,1900-2003,High,3.13,3
Kolker et al. 2009,Radiometric,"Nissequogue River, Long Island, NY, USA",40.90411,-73.22904,1900-2003,High,3.48,3
Nyman et al. 2006,Radiometric,"Louisiana, USA",29.51181,-90.26066,1963-1990,High,5.9,Not given
Oenema & DeLaune 1988,Radiometric,"Rattekaai, Eastern Scheldt, Netherlands",51.43991,4.18961,1963-1985,High,16,4
Orson et al. 1998,Radiometric,"Headquarters Marsh, Barn Island, Stonington, CT, USA",41.33638,-71.87115,1938-1994,High,1.8,2.21
Orson et al. 1998,Radiometric,"Bloom's Point, Barn Island, Stonington, CT, USA",41.33638,-71.87115,1938-1994,High,2,2.21
Orson et al. 1998,Radiometric,"Davis Marsh, Barn Island, Stonington, CT, USA",41.33638,-71.87115,1938-1994,High,3.3,2.21
Parkinson et al. 2006,Radiometric,"Merritt Island, FL, USA",28.7,-80.76667,1963-2003,High,3.25,Not given
Roman et al. 2007,Radiometric,"Watch Hill, Fire Island, NY, USA",40.69535,-72.98116,1963-2007,High,2.2,3.15
Roman et al. 2007,Radiometric,"Hospital Point, Fire Island, NY, USA",40.72937,-72.89027,1963-2007,High,4.2,3.15
Schuerch et al. 2012,Radiometric,"Sylt, Germany",54.78833,8.29167,1938-2003,High,2.8,2.1
Schuerch et al. 2012,Radiometric,"Sylt, Germany",54.78833,8.29167,1960-2009,High,3.25,2.1
Sharma et al. 1987,Radiometric,"Bread and Butter Creek, North Inlet, SC USA",33.33039,-79.17796,1963-1983,High,1.45,3
Sharma et al. 1987,Radiometric,"Town Creek, North Inlet, SC USA",33.33203,-79.17127,1963-1983,High,2.45,3
Sharma et al. 1987,Radiometric,"Goat Island, North Inlet, SC USA",33.32547,-79.20392,1920-1987,High,4.5,3
Thomson et al. 2002,Radiometric,"Beaulieu Marsh, UK",50.80151,-1.41731,1963-1998,High,7,Not given
Thomson et al. 2002,Radiometric,"Wyre Marsh, UK",53.90444,-2.98871,1963-1998,High,14,Not given
Weis et al. 2001,Radiometric,"Tijuana Estuary, San Diego, CA, USA",32.55383,-117.12019,1963-1998,High,8.55,2
Williams & Hamilton 1995,Radiometric,"Fraser River Delta, Vancouver, British Columbia, Canada",49.15185,-123.19769,1964-1991,High,8.5,Not given
Anisfeld et al. 1999,Radiometric,"Connecticut, USA",41.26083,-72.80944,1964-1999,Low,1.8,1.6
Anisfeld et al. 1999,Radiometric,"Connecticut, USA",41.27,72.65667,1964-1999,Low,2.9,1.6
Anisfeld et al. 1999,Radiometric,"Connecticut, USA",41.26167,-72.73639,1964-1999,Low,4.7,1.6
Armentano & Woodwell 1975,Radiometric,"Flax Pond, Long Island, NY, USA",40.96407,-73.14045,1875-1975,Low,5.5,3.7
Bricker-Urso et al. 1989,Radiometric,"Narragansett Bay, RI, USA",41.62426,-71.32339,1931-1986,Low,4.23,2.6
Callaway et al. 2012,Radiometric,"San Francisco Bay, CA, USA",38.06323,-122.37201,1963-2011,Low,4.9,Not given
Craft et al. 1993,Radiometric,"Oregon Inlet, NC, USA",35.749,-75.513,1963-1988,Low,2.7,1.9
Cundy & Croudace 1996,Radiometric,"Solent Estuary, England",50.80563,-1.30253,1963-1994,Low,4.45,5
Delaune et al. 1978,Radiometric,"Barataria Basin, LA, USA",29.21667,-90.11667,1954-1978,Low,13.5,12.05
Dyer et al. 2002,Radiometric,"Ritthem, Westerschelde Estuary, Netherlands",51.45048,3.64794,1963-1998,Low,9,2.2
Elsey-Quirk et al. 2011,Radiometric,"Little Assawoman Bay, DE, USA",38.41667,75.06667,1964-2006,Low,2.5,2.5
Goldberg et al. 1979,Radiometric,"Tybee River, Savannah, SC USA",32.01944,-80.90694,1954-1976,Low,11.5,1
Haslett et al. 2003,Radiometric,"Havre de Carteret, Normandy, France",49.37499,-1.77735,1902-1997,Low,5.5,3.9
Nyman et al. 1993,Radiometric,"Terrebonne Basin, LA",29.3302,-90.42027,1963-1989,Low,9.9,13.8
Piazza et al. 2011,Radiometric,"Louisiana, USA",29.64916,-89.65366,1963-2006,Low,5.6,9.2
Piazza et al. 2011,Radiometric,"Louisiana, USA",29.2761,-91.10386,1963-2006,Low,5.8,9.2
Piazza et al. 2011,Radiometric,"Louisiana, USA",29.18383,-90.15903,1963-2006,Low,7.55,9.2
Schuerch et al. 2012,Radiometric,"Sylt, Germany",54.78833,8.29167,1996-2009,Low,2.5,2.1
Turner et al. 2004,Radiometric,"Barataria Basin, LA, USA",29.48742,-89.95723,1963-1991,Low,7,Not given
Weis et al. 2001,Radiometric,"Tijuana Estuary, San Diego, CA, USA",32.55383,-117.12019,1963-1998,Low,11.45,2
Williams & Hamilton 1995,Radiometric,"Fraser River Delta, Vancouver, British Columbia, Canada",49.15185,-123.19769,1964-1991,Low,2.6,Not given
Williams & Hamilton 1995,Radiometric,"Fraser River Delta, Vancouver, British Columbia, Canada",49.15185,-123.19769,1964-1991,Low,3.3,Not given
Williams & Hamilton 1995,Radiometric,"Fraser River Delta, Vancouver, British Columbia, Canada",49.15185,-123.19769,1964-1991,Low,6.1,Not given
Williams & Hamilton 1995,Radiometric,"Fraser River Delta, Vancouver, British Columbia, Canada",49.15185,-123.19769,1964-1991,Low,6.3,Not given
Cahoon 1994,Sedimentation,"Fina LaTerre, LA, USA",29.43242,-90.80512,1989-1990,High,5,10.9
Cahoon 1994,Sedimentation,"Rockefeller Refuge, LA, USA",29.67239,-92.66214,1989-1990,High,11,12
Cahoon et al. 1996,Sedimentation,"Tijuana Estuary, CA, USA",32.56761,-117.12945,1992-1994,High,1,2
Childers & Day 1990,Sedimentation,"Barataria Basin, Louisiana",29.2846,-90.11958,1988,High,8.4,Not given
Connor et al. 2001,Sedimentation,"Bay of Fundy, Nova Scotia, Canada",45.33767,-65.54385,1998,High,9.7,Not given
Connor et al. 2001,Sedimentation,"Bay of Fundy, Nova Scotia, Canada",45.33767,-65.54385,1998,High,13.1,Not given
Cornu & Sadro 2002,Sedimentation,"Danger Point, South Slough, Oregon, USA",43.28277,-124.32299,1994-2000,High,6.73,-0.5
Cornu & Sadro 2002,Sedimentation,"Tom's Creek, South Slough, Oregon, USA",43.27963,-124.31766,1994-2000,High,7.11,-0.5
Coulombier et al. 2012,Sedimentation,"Pointe-aux-Epinettes, Quebec, Canada",48.35,68.78333,2006-2010,High,2.2,11
Erwin et al. 2006,Sedimentation,"Wachapreague, Oyster, VA, USA",37.59167,-75.59167,1999-2003,High,2.3,3.9
Erwin et al. 2006,Sedimentation,"Nauset Marsh, Orleans, MA, USA",41.81667,-69.94722,1999-2003,High,3.1,2.6
Erwin et al. 2006,Sedimentation,"Little Beach Island, NJ, USA",39.46667,-74.35833,2000-2003,High,3.8,4.1
Erwin et al. 2006,Sedimentation,"Wachapreague, Oyster, VA, USA",37.59167,-75.59167,1999-2003,High,8.5,3.9
French & Spencer 1993,Sedimentation,"Hut Marsh, Scolt Head Island, Norfolk, UK",52.98384,0.70819,1986-1991,High,3.4,2
Goodman et al. 2007,Sedimentation,"Southwestern ME, USA",43.802,-69.692,1986-2003,High,2.72,2.23
Harrison & Bloom 1977,Sedimentation,"Barn Island, CT, USA",41.33738,-71.87678,1963-1973,High,2,2.6
Harrison & Bloom 1977,Sedimentation,"Hammock River, CT, USA",41.25832,-72.54035,1964-1966,High,3.6,2.6
Harrison & Bloom 1977,Sedimentation,"Great Island, CT, USA",41.28658,-72.32923,1963-1973,High,3.8,2.6
Harrison & Bloom 1977,Sedimentation,"Nells Island, CT, USA",41.18715,-73.10724,1963-1973,High,6,2.6
Harrison & Bloom 1977,Sedimentation,"Stony Creek, CT, USA",41.27329,-72.75825,1963-1973,High,6.6,2.6
Letzsch & Frey 1980,Sedimentation,"Sapelo Island, GA, USA",31.49068,-81.21782,1972-1974,High,0.5,1.5
Letzsch & Frey 1980,Sedimentation,"Sapelo Island, GA, USA",31.49068,-81.21782,1972-1974,High,3.25,1.5
Lovelock et al. 2011,Sedimentation,"West Moreton Bay, Queensland, Australia",-27.39981,153.28653,2007-2010,High,0.99,2.36
Lovelock et al. 2011,Sedimentation,"East Moreton Bay, Queensland, Australia",-27.39981,153.28653,2007-2010,High,2.86,2.36
Moreira 1992,Sedimentation,"Sado Estuary, Portugal",38.45843,-8.74168,1983-1989,High,1.95,Not given
Oenema & DeLaune 1988,Sedimentation,"Rattekaai, Eastern Scheldt, Netherlands",51.43991,4.18961,1984-1986,High,10.1,4
Roman et al. 2007,Sedimentation,"Watch Hill, Fire Island, NY, USA",40.69535,-72.98116,2002-2007,High,3.67,3.15
Roman et al. 2007,Sedimentation,"Hospital Point, Fire Island, NY, USA",40.72937,-72.89027,2002-2007,High,3.76,3.15
Stoddart et al. 1989,Sedimentation,"Scolt Head Island, Norfolk, England",52.98224,0.70052,1983-1986,High,0.21,Not given
Baustian et al. 2012,Sedimentation,"Lafourche Parish, Louisiana, USA",-29.18,90.25,2006-2011,Low,16.4,4.1
Cahoon et al. 1996,Sedimentation,"Tijuana Estuary, CA, USA",32.56761,-117.12945,1992-1994,Low,9.5,2
Childers & Day 1990,Sedimentation,"Barataria Basin, Louisiana",29.2846,-90.11958,1988,Low,19.2,Not given
Connor et al. 2001,Sedimentation,"Bay of Fundy, Nova Scotia, Canada",45.33767,-65.54385,1998,Low,26.1,Not given
Coulombier et al. 2012,Sedimentation,"Pointe-aux-Epinettes, Quebec, Canada",48.35,68.78333,2006-2010,Low,1.3,11
Erwin et al. 2006,Sedimentation,"Mockhorn Island, Oyster, VA, USA",37.28333,-75.875,1999-2003,Low,12.7,3.9
French & Spencer 1993,Sedimentation,"Hut Marsh, Scolt Head Island, Norfolk, UK",52.98384,0.70819,1986-1991,Low,4.5,2
Goodman et al. 2007,Sedimentation,"Southwestern ME, USA",43.802,-69.692,1986-2003,Low,2.99,2.52
Letzsch & Frey 1980,Sedimentation,"Sapelo Island, GA, USA",31.49068,-81.21782,1972-1974,Low,9,1.5
Moreira 1992,Sedimentation,"Sado Estuary, Portugal",38.45843,-8.74168,1978-1989,Low,2.1,Not given
Richard 1978,Sedimentation,"Flax Pond, Long Island, NY",40.96358,-73.1403,1974-1976,Low,3.6,Not given
Rybczyk & Cahoon 2002,Sedimentation,"Old Oyster Bayou, Louisiana, USA",29.25907,-91.11199,1992-2000,Low,4.8,8.5
Rybczyk & Cahoon 2002,Sedimentation,"Bayou Chitigue, Louisiana, USA",29.3248,-90.58735,1992-2000,Low,22.6,13.3
Shi 1993,Sedimentation,"Dyfi Estuary, Wales, UK",52.53231,-3.99545,1988,Low,10,4.65
Stoddart et al. 1989,Sedimentation,"Scolt Head Island, Norfolk, England",52.98224,0.70052,1983-1986,Low,0.51,Not given
Cornu & Sadro 2002,SET,"Danger Point, South Slough, Oregon, USA",43.28277,-124.32299,1994-2000,High,6.92,-0.5
Cornu & Sadro 2002,SET,"Tom's Creek, South Slough, Oregon, USA",43.27963,-124.31766,1994-2000,High,11.6,-0.5
Erwin et al. 2006,SET,"Wachapreague, Oyster, VA, USA",37.59167,-75.59167,1999-2003,High,0.7,3.9
Erwin et al. 2006,SET,"Wachapreague, Oyster, VA, USA",37.59167,-75.59167,1999-2003,High,1.4,3.9
Erwin et al. 2006,SET,"Little Beach Island, NJ, USA",39.46667,-74.35833,2000-2003,High,1.7,4.1
Erwin et al. 2006,SET,"Nauset Marsh, Orleans, MA, USA",41.81667,-69.94722,1999-2003,High,2.7,2.6
Lovelock et al. 2011,SET,"West Moreton Bay, Queensland, Australia",-27.39981,153.28653,2007-2010,High,-0.3,2.36
Lovelock et al. 2011,SET,"East Moreton Bay, Queensland, Australia",-27.39981,153.28653,2007-2010,High,1.7,2.36
Morris et al. 2002,SET,"Goat Island, North Inlet, SC",33.32701,-79.16792,1996-2002,High,5.1,3.4
Roman et al. 2007,SET,"Hospital Point, Fire Island, NY, USA",40.72937,-72.89027,2002-2007,High,2.04,3.15
Roman et al. 2007,SET,"Watch Hill, Fire Island, NY, USA",40.69535,-72.98116,2002-2007,High,2.08,3.15
Spencer et al. 2012,SET,"Freiston Shore, The Wash Estuary, UK",52.96213,0.10441,2002-2008,High,3.2,Not given
van Proosdij et al. 2006,SET,"Allen Creek, Bay of Fundy, Canada",45.83352,-64.38848,1996-2002,High,12,4.6
van Proosdij et al. 2006,SET,"Allen Creek, Bay of Fundy, Canada",45.83352,-64.38848,1996-2002,High,14.4,4.6
Baustian et al. 2012,SET,"Lafourche Parish, Louisiana, USA",-29.18,90.25,2006-2011,Low,3.5,4.1
Erwin et al. 2006,SET,"Mockhorn Island, Oyster, VA, USA",37.28333,-75.875,1999-2003,Low,1.4,3.9
Rybczyk & Cahoon 2002,SET,"Bayou Chitigue, Louisiana, USA",29.3248,-90.58735,1992-2000,Low,2.2,13.3
Rybczyk & Cahoon 2002,SET,"Old Oyster Bayou, Louisiana, USA",29.25907,-91.11199,1992-2000,Low,3.6,8.5
van Proosdij et al. 2006,SET,"Allen Creek, Bay of Fundy, Canada",45.83352,-64.38848,1996-2002,Low,8.4,4.6
