"","sciname","common","SpecCode","Resilience"
"57","Caranx hippos","Crevalle jack",71,"Medium"
"58","Caranx ignobilis","Giant trevally",1895,"Medium"
"59","Caranx rhonchus","False scad",1899,"Medium"
"60","Carcharhinus falciformis","Silky shark",868,"Low"
"61","Cardium edule","Common edible cockle",NA,NA
"62","Caulolatilus princeps","Ocean whitefish",3539,"Low"
"63","Centropomus undecimalis","Common snook",345,"Medium"
"64","Centropristis striata","Black seabass",361,"Medium"
"65","Cephalopholis boenak","Chocolate hind",6444,"Medium"
"66","Cervimunida johni","Carrot Squat Lobster",NA,NA
"67","Cetengraulis edentulus","Atlantic anchoveta",547,"Medium"
"68","Cetengraulis mysticetus","Pacific anchoveta",548,"High"
"69","Chaceon quinquedens","Red deepsea crab",NA,NA
"70","Champsocephalus gunnari","Mackerel icefish",474,"Medium"
"71","Cheilopogon agoo","Japanese flyingfish",10307,"High"
"72","Chelidonichthys kumu","Bluefin gurnard",507,"Medium"
"73","Chelidonichthys lucerna","Tub gurnard",1366,"Low"
"74","Chione stutchburyi","Stutchbury's venus",NA,NA
"75","Chionoecetes opilio","Queen crab",NA,NA
"76","Chirocentrus dorab","Dorab wolf-herring",6358,"Medium"
"77","Chirocentrus nudus","Whitefin wolf-herring",1452,"Medium"
"78","Chlamys islandica","Iceland scallop",NA,NA
"79","Chloroscombrus chrysurus","Atlantic bumper",385,"Medium"
"80","Chloroscombrus orqueta","Pacific bumper",1937,"High"
"81","Choromytilus chorus","Choro mussel",NA,NA
"82","Cilus gilberti","Corvina",26675,"Medium"
"83","Clupanodon thrissa","Chinese gizzard shad",1608,"High"
"84","Clupeonella cultriventris","Black Sea sprat",1470,"Medium"
"85","Cololabis saira","Pacific saury",303,"High"
"86","Concholepas concholepas","False abalone",NA,NA
"87","Conger conger","European conger",301,"Low"
"88","Conger myriaster","Whitespotted conger",302,"Medium"
"89","Conger oceanicus","American conger",300,"Low"
"90","Conodon nobilis","Barred grunt",401,"Medium"
"91","Coregonus albula","Vendace",231,"Medium"
"92","Coregonus autumnalis","Arctic cisco",2669,"Low"
"93","Coregonus lavaretus","Common whitefish",232,"Medium"
"94","Coregonus muksun","Muksun",12547,"Low"
"95","Coregonus nasus","Broad whitefish",2674,"Low"
"96","Coregonus sardinella","Sardine cisco",2678,"Medium"
"97","Coryphaena hippurus","Common dolphinfish",6,"High"
"98","Crangon crangon","Common shrimp",NA,NA
"99","Crassostrea gigas","Pacific cupped oyster",NA,NA
"100","Crassostrea iredalei","Slipper cupped oyster",NA,NA
"101","Crassostrea rhizophorae","Mangrove cupped oyster",NA,NA
"102","Crassostrea virginica","American cupped oyster",NA,NA
"103","Cyclopterus lumpus","Lumpsucker",62,"Low"
"104","Cynoscion analis","Peruvian weakfish",403,"Medium"
"105","Cynoscion nebulosus","Spotted weakfish",405,"Medium"
"106","Cynoscion regalis","Gray weakfish",406,"Medium"
"107","Cynoscion striatus","South American striped weakfish",407,"Medium"
"108","Dasyatis akajei","Red stingray",NA,NA
"109","Decapterus maruadsi","Japanese scad",1939,"High"
"110","Decapterus russelli","Indian scad",374,"Medium"
"111","Dentex angolensis","Angola dentex",440,"Medium"
"112","Dentex dentex","Common dentex",439,"Low"
"113","Dentex macrophthalmus","Large-eye dentex",438,"Medium"
"114","Dicentrarchus labrax","European seabass",63,"Medium"
"115","Diplodus sargus sargus","White seabream",NA,NA
"116","Dissostichus eleginoides","Patagonian toothfish",467,"Low"
"117","Dissostichus mawsoni","Antarctic toothfish",7039,"Low"
"118","Dosidicus gigas","Jumbo flying squid",NA,"High"
"119","Dussumieria acuta","Rainbow sardine",1453,"High"
"120","Elagatis bipinnulata","Rainbow runner",412,"Medium"
"121","Eleginus gracilis","Saffron cod",315,"Medium"
"122","Eleginus nawaga","Navaga",314,"Medium"
"123","Eleutheronema tetradactylum","Fourfinger threadfin",340,"Medium"
"124","Elops lacerta","West African ladyfish",4959,"Medium"
"125","Emmelichthys nitidus nitidus","Redbait",395,"Medium"
"126","Engraulis anchoita","Argentine anchoita",1659,"Medium"
"127","Engraulis capensis","Cape anchovy",64907,"High"
"128","Engraulis japonicus","Japanese anchovy",1663,"High"
"129","Engraulis mordax","Californian anchovy",1664,"Medium"
"130","Engraulis ringens","Anchoveta",4,"High"
"131","Eopsetta jordani","Petrale sole",4237,"Medium"
"132","Epigonus telescopus","Bulls-eye",2508,"Very low"
"133","Epinephelus coioides","Orange-spotted grouper",6465,"Low"
"134","Epinephelus marginatus","Dusky grouper",6470,"Low"
"135","Epinephelus morio","Red grouper",17,"Medium"
"136","Ethmalosa fimbriata","Bonga shad",1594,"High"
"137","Ethmidium maculatum","Pacific menhaden",1593,"High"
"138","Etrumeus whiteheadi","Whiteheads round herring",1456,"High"
"139","Euphausia superba","Antarctic krill",NA,NA
"140","Euthynnus affinis","Kawakawa",96,"Medium"
"141","Euthynnus alletteratus","Little tunny",97,"Medium"
"142","Euthynnus lineatus","Black skipjack",98,"Medium"
"143","Eutrigla gurnardus","Grey gurnard",68,"Medium"
"144","Farfantepenaeus aztecus","Northern brown shrimp",NA,NA
"145","Farfantepenaeus brasiliensis","Redspotted shrimp",NA,NA
"146","Farfantepenaeus californiensis","Yellowleg shrimp",NA,NA
"147","Farfantepenaeus duorarum","Northern pink shrimp",NA,NA
"148","Farfantepenaeus notialis","Southern pink shrimp",NA,NA
"149","Fenneropenaeus chinensis","Fleshy prawn",NA,NA
"150","Fenneropenaeus merguiensis","Banana prawn",NA,NA
"151","Gadus ogac","Greenland cod",NA,NA
"152","Galeoides decadactylus","Lesser African threadfin",341,"Medium"
"153","Genypterus blacodes","Pink cusk-eel",482,"Low"
"154","Genypterus capensis","Kingklip",485,"Low"
"155","Genypterus chilensis","Red cusk-eel",483,"Low"
"156","Genypterus maculatus","Black cusk-eel",484,"Medium"
"157","Glycymeris glycymeris","Dog cockle",NA,NA
"158","Glyptocephalus cynoglossus","Witch",26,"Medium"
"159","Gnathanodon speciosus","Golden trevally",4464,"Medium"
"160","Gobionotothen gibberifrons","Humped rockcod",7041,"Low"
"161","Gymnosarda unicolor","Dogtooth tuna",106,"Low"
"162","Haliotis gigantea","Giant abalone",NA,NA
"163","Haliotis midae","Perlemoen abalone",NA,NA
"164","Haliporoides triarthrus","Knife shrimp",NA,"High"
"165","Harpadon nehereus","Bombay duck",260,"High"
"166","Helicolenus dactylopterus dactylopterus","Blackbelly rosefish",NA,NA
"167","Heterocarpus reedi","Chilean nylon shrimp",NA,NA
"168","Hippoglossoides elassodon","Flathead sole",519,"Low"
"169","Hippoglossoides platessoides","American plaice",4239,"Low"
"170","Hippoglossus hippoglossus","Atlantic halibut",1371,"Very low"
"171","Hippoglossus stenolepis","Pacific halibut",514,"Low"
"172","Homarus americanus","American lobster",NA,NA
"173","Homarus gammarus","European lobster",NA,NA
"174","Hydrolagus novaezealandiae","Dark ghost shark",13146,"Low"
"175","Hyperoglyphe antarctica","Antarctic butterfish",496,"Medium"
"176","Hypoptychus dybowskii","Korean sandeel",488,"High"
"177","Ilisha africana","West African ilisha",1625,"High"
"178","Ilisha elongata","Elongate ilisha",1627,"Medium"
"179","Illex argentinus","Argentine shortfin squid",NA,"High"
"180","Illex coindetii","Broadtail shortfin squid",NA,NA
"181","Illex illecebrosus","Northern shortfin squid",NA,NA
"182","Isacia conceptionis","Cabinza grunt",397,"Medium"
"183","Istiophorus albicans","Atlantic sailfish",78,"Medium"
"184","Istiophorus platypterus","Indo-Pacific sailfish",77,"Low"
"185","Isurus oxyrinchus","Shortfin mako",752,"Low"
"186","Jasus edwardsii","Red rock lobster",NA,"Medium"
"187","Jasus lalandii","Cape rock lobster",NA,NA
"188","Jasus novaehollandiae","Southern rock lobster",NA,NA
"189","Kathetostoma giganteum","Giant stargazer",12920,"Medium"
"190","Katsuwonus pelamis","Skipjack tuna",107,"Medium"
"191","Lactarius lactarius","False trevally",363,"High"
"192","Lampanyctodes hectoris","Hectors lanternfish",259,"High"
"193","Larimichthys crocea","Large yellow croaker",428,"Medium"
"194","Larimichthys polyactis","Yellow croaker",416,"Medium"
"195","Lateolabrax japonicus","Japanese seaperch",4589,"Medium"
"196","Lates calcarifer","Barramundi",346,"Medium"
"197","Leiostomus xanthurus","Spot croaker",429,"High"
"198","Lepidonotothen squamifrons","Grey rockcod",7045,"Low"
"199","Lepidopsetta bilineata","Rock sole",24237,"Low"
"200","Lepidopus caudatus","Silver scabbardfish",645,"Medium"
"201","Lepidorhynchus denticulatus","Thorntooth grenadier",8483,"Low"
"202","Lethrinus nebulosus","Spangled emperor",1846,"Low"
"203","Leucoraja naevus","Cuckoo ray",4326,"Low"
"204","Lichia amia","Leerfish",692,"Medium"
"205","Limanda aspera","Yellowfin sole",520,"Low"
"206","Limanda ferruginea","Yellowtail flounder",521,"Medium"
"207","Lithodes aequispinus","Same-spine stone crab",NA,NA
"208","Lithodes antarcticus","Southern king crab",NA,NA
"209","Litopenaeus occidentalis","Western white shrimp",NA,NA
"210","Litopenaeus setiferus","Northern white shrimp",NA,NA
"211","Litopenaeus stylirostris","Blue shrimp",NA,NA
"212","Litopenaeus vannamei","Whiteleg shrimp",NA,NA
"213","Littorina littorea","Common periwinkle",NA,NA
"214","Loligo gahi","Patagonian squid",NA,NA
"215","Loligo opalescens","California market squid",NA,NA
"216","Loligo pealeii","Longfin squid",NA,NA
"217","Loligo vulgaris","Cape Hope squid",NA,NA
"218","Lophius americanus","American angler",532,"Low"
"219","Lophius gastrophysus","Blackfin goosefish",1078,"Medium"
"220","Lophius vomerinus","Cape monk",10256,"Low"
"221","Lopholatilus chamaeleonticeps","Great northern tilefish",362,"Low"
"222","Loxechinus albus","Chilean sea urchin",NA,NA
"223","Lutjanus argentimaculatus","Mangrove red snapper",1407,"Medium"
"224","Lutjanus argentiventris","Yellow snapper",1408,"Low"
"225","Lutjanus campechanus","Northern red snapper",1423,"Medium"
"226","Lutjanus johnii","Johns snapper",264,"Medium"
"227","Lutjanus malabaricus","Malabar blood snapper",162,"Low"
"228","Lutjanus purpureus","Southern red snapper",171,"Low"
"229","Lutjanus synagris","Lane snapper",181,"Medium"
"230","Macrodon ancylodon","King weakfish",417,"Medium"
"231","Macroramphosus scolopax","Longspine snipefish",333,"Medium"
"232","Macrourus berglax","Onion-eye grenadier",331,"Low"
"233","Macruronus magellanicus","Patagonian grenadier",329,"Low"
"234","Macruronus novaezelandiae","Blue grenadier",1825,"Low"
"235","Mactra sachalinensis","Hen clam",NA,NA
"236","Maja squinado","Spinous spider crab",NA,NA
"237","Makaira indica","Black marlin",NA,NA
"238","Makaira mazara","Indo-Pacific blue marlin",218,"Low"
"239","Makaira nigricans","Atlantic blue marlin",216,"Medium"
"240","Mallotus villosus","Capelin",252,"Medium"
"241","Marsupenaeus japonicus","Kuruma prawn",NA,NA
"242","Martialia hyadesi","Sevenstar flying squid",NA,NA
"243","Megabalanus psittacus","Giant barnacle",NA,NA
"244","Megalaspis cordyla","Torpedo scad",384,"Medium"
"245","Megalops atlanticus","Tarpon",1079,"Low"
"246","Melicertus kerathurus","Caramote prawn",NA,NA
"247","Melicertus latisulcatus","Western king prawn",NA,NA
"248","Mene maculata","Moonfish",390,"High"
"249","Menippe mercenaria","Black stone crab",NA,NA
"250","Menticirrhus littoralis","Gulf kingcroaker",411,"Medium"
"251","Mercenaria mercenaria","Northern quahog",NA,NA
"252","Meretrix lusoria","Japanese hard clam",NA,NA
"253","Merluccius australis","Southern hake",322,"Low"
"254","Merluccius bilinearis","Silver hake",323,"Medium"
"255","Merluccius gayi gayi","South Pacific hake",324,"Medium"
"256","Merluccius gayi peruanus","Peruvian hake",14693,"Medium"
"257","Merluccius hubbsi","Argentine hake",325,"Low"
"258","Merluccius merluccius","European hake",30,"Medium"
"259","Merluccius polli","Benguela hake",327,"Medium"
"260","Merluccius productus","North Pacific hake",326,"Medium"
"261","Merluccius senegalensis","Senegalese hake",321,"Low"
"262","Mesodesma donacium","Macha clam",NA,NA
"263","Metapenaeus endeavouri","Endeavour shrimp",NA,NA
"264","Metapenaeus joyneri","Shiba shrimp",NA,NA
"265","Micromesistius australis","Southern blue whiting",320,"Medium"
"266","Micromesistius poutassou","Blue whiting",31,"Medium"
"267","Micropogonias furnieri","Whitemouth croaker",7620,"Medium"
"268","Micropogonias undulatus","Atlantic croaker",408,"Medium"
"269","Microstomus kitt","Lemon sole",1382,"Medium"
"270","Microstomus pacificus","Dover sole",4247,"Low"
"271","Mora moro","Common mora",1734,"Low"
"272","Morone americana","White perch",355,"Low"
"273","Morone saxatilis","Striped sea-bass",353,"Low"
"274","Mugil cephalus","Flathead mullet",785,"Medium"
"275","Mugil liza","Liza",1090,"Medium"
"276","Mugil soiuy","So-iuy mullet",NA,NA
"277","Mullus barbatus barbatus","Red mullet",790,"Medium"
"278","Muraenesox cinereus","Daggertooth pike conger",298,"Medium"
"279","Mustelus lenticulatus","Spotted estuary smooth-hound",5933,"Low"
"280","Mustelus schmitti","Narrownose smooth-hound",5937,"Very low"
"281","Mya arenaria","Sand gaper",NA,NA
"282","Mytilus chilensis","Chilean mussel",NA,NA
"283","Mytilus coruscus","Korean mussel",NA,NA
"284","Mytilus edulis","Blue mussel",NA,NA
"285","Mytilus galloprovincialis","Mediterranean mussel",NA,NA
"286","Mytilus planulatus","Australian mussel",NA,NA
"287","Mytilus platensis","River Plata mussel",NA,NA
"288","Naso unicornis","Bluespine unicornfish",1265,"Low"
"289","Nemadactylus bergi","White morwong",460,"Medium"
"290","Nemadactylus macropterus","Tarakihi",10106,"Low"
"291","Nemipterus virgatus","Golden threadfin bream",396,"Medium"
"292","Nephrops norvegicus","Norway lobster",NA,NA
"293","Nibea mitsukurii","Nibe croaker",427,"Medium"
"294","Normanichthys crockeri","Normans camote",4313,"High"
"295","Notothenia rossii","Marbled rockcod",468,"Low"
"296","Nototodarus sloanii","Wellington flying squid",NA,"Medium"
"297","Octopus vulgaris","Common octopus",NA,"High"
"298","Ocyurus chrysurus","Yellowtail snapper",188,"Medium"
"299","Odontesthes regia","Silverside",8172,"High"
"300","Ommastrephes bartramii","Neon flying squid",NA,NA
"301","Oncorhynchus gorbuscha","Pink salmon",240,"Medium"
"302","Oncorhynchus keta","Chum salmon",241,"Medium"
"303","Oncorhynchus kisutch","Coho salmon",245,"Medium"
"304","Oncorhynchus masou masou","Cherry salmon",NA,NA
"305","Oncorhynchus nerka","Sockeye salmon",243,"Medium"
"306","Oncorhynchus tshawytscha","Chinook salmon",244,"Medium"
"307","Ophiodon elongatus","Lingcod",509,"Medium"
"308","Opisthonema libertate","Pacific thread herring",1484,"High"
"309","Opisthonema oglinum","Atlantic thread herring",1486,"Medium"
"310","Osmerus eperlanus","European smelt",1334,"Medium"
"311","Osmerus mordax mordax","Atlantic rainbow smelt",NA,NA
"312","Ostrea edulis","European flat oyster",NA,NA
"313","Ostrea lutaria","New Zealand dredge oyster",NA,NA
"314","Pagellus bellottii","Red pandora",436,"Medium"
"315","Pagellus erythrinus","Common pandora",893,"Medium"
"316","Pagrus auratus","Squirefish",6426,"Low"
"317","Pagrus pagrus","Common seabream",1756,"Medium"
"318","Pampus argenteus","Silver pomfret",491,"Medium"
"319","Pandalus borealis","Northern prawn",NA,NA
"320","Pandalus jordani","Ocean shrimp",NA,NA
"321","Panopea abrupta","Pacific geoduck",NA,NA
"322","Panulirus argus","Caribbean spiny lobster",NA,NA
"323","Panulirus cygnus","Australian spiny lobster",NA,NA
"324","Panulirus homarus","Scalloped spiny lobster",NA,NA
"325","Panulirus longipes","Longlegged spiny lobster",NA,NA
"326","Paphies australis","Pipi wedge clam",NA,NA
"327","Paralabrax humeralis","Peruvian rock seabass",352,"Medium"
"328","Paralichthys dentatus","Summer flounder",1338,"Medium"
"329","Paralichthys olivaceus","Bastard halibut",1351,"Medium"
"330","Paralithodes camtschaticus","Red king crab",NA,NA
"331","Paralithodes platypus","Blue King Crab",NA,NA
"332","Paralomis granulosa","Softshell red crab",NA,NA
"333","Paralonchurus peruanus","Peruvian banded croaker",424,"Medium"
"334","Parapenaeus longirostris","Deepwater rose shrimp",NA,"High"
"335","Parapercis colias","Blue cod",464,"Medium"
"336","Parastromateus niger","Black pomfret",1947,"Medium"
"337","Patagonotothen ramsayi","Ramsay's icefish",10308,"Medium"
"338","Patinopecten caurinus","Weathervane scallop",NA,NA
"339","Pecten maximus","Great Atlantic scallop",NA,NA
"340","Pecten novaezelandiae","New Zealand scallop",NA,"High"
"341","Pecten yessoensis","Yesso scallop",NA,NA
"342","Pellona ditchela","Indian pellona",1641,"High"
"343","Penaeus monodon","Giant tiger prawn",NA,"High"
"344","Penaeus penicillatus","Redtail prawn",NA,NA
"345","Penaeus semisulcatus","Green tiger prawn",NA,"High"
"346","Pennahia argentata","White croaker",434,"High"
"347","Pentanemus quinquarius","Royal threadfin",342,"High"
"348","Peprilus triacanthus","American butterfish",492,"High"
"349","Percophis brasiliensis","Brazilian flathead",465,"Medium"
"350","Perna viridis","Brown mussel",NA,NA
"351","Placopecten magellanicus","American sea scallop",NA,NA
"352","Platycephalus indicus","Bartail flathead",950,"Medium"
"353","Plectorhinchus mediterraneus","Rubberlip grunt",398,"Medium"
"354","Pleoticus muelleri","Argentine red shrimp",NA,"High"
"355","Pleurogrammus azonus","Okhostk atka mackerel",510,"Medium"
"356","Pleurogrammus monopterygius","Atka mackerel",4037,"Low"
"357","Pleuroncodes monodon","Squat Lobster",NA,NA
"358","Pleuroncodes planipes","Pelagic red crab",NA,NA
"359","Pogonias cromis","Black drum",425,"Medium"
"360","Pollachius pollachius","Pollack",34,"Medium"
"361","Polydactylus quadrifilis","Giant African threadfin",5002,"Medium"
"362","Polyprion oxygeneios","Hapuka",350,"Very low"
"363","Pomadasys argenteus","Silver grunt",399,"Medium"
"364","Pomadasys jubelini","Sompat grunt",4708,"Medium"
"365","Pomadasys kaakan","Javelin grunter",6006,"Medium"
"366","Pomatomus saltatrix","Bluefish",364,"Medium"
"367","Portunus pelagicus","Blue swimming crab",NA,"High"
"368","Portunus trituberculatus","Gazami crab",NA,"High"
"369","Priacanthus macracanthus","Red bigeye",356,"Medium"
"370","Prionace glauca","Blue shark",898,"Low"
"371","Protothaca thaca","Taca clam",NA,NA
"372","Psenopsis anomala","Melon seed",497,"Medium"
"373","Psetta maxima","Turbot",NA,NA
"374","Psettodes erumei","Indian spiny turbot",513,"Medium"
"375","Pseudocaranx dentex","White trevally",1002,"Medium"
"376","Pseudopercis semifasciata","Argentinian sandperch",50136,"Low"
"377","Pseudophycis bachus","Red codling",2020,"Medium"
"378","Pseudopleuronectes americanus","Winter flounder",524,"Medium"
"379","Pseudopleuronectes herzensteini","Littlemouth flounder",8556,"Medium"
"380","Pseudotolithus elongatus","Bobo croaker",433,"Medium"
"381","Pseudotolithus senegalensis","Cassava croaker",432,"Medium"
"382","Pseudupeneus prayensis","West African goatfish",453,"High"
"383","Pterogymnus laniarius","Panga seabream",448,"Low"
"384","Pteroscion peli","Boe drum",423,"Medium"
"385","Pyura chilensis","Red sea squirt",NA,NA
"386","Rachycentron canadum","Cobia",3542,"Medium"
"387","Raja asterias","Starry ray",8924,"Low"
"388","Raja clavata","Thornback ray",2059,"Low"
"389","Rastrelliger brachysoma","Short mackerel",109,"High"
"390","Rastrelliger kanagurta","Indian mackerel",111,"Medium"
"391","Rexea solandri","Silver gemfish",8490,"Medium"
"392","Rhinobatos percellens","Chola guitarfish",NA,NA
"393","Rhomboplites aurorubens","Vermilion snapper",213,"Medium"
"394","Ruditapes decussatus","Grooved carpet shell",NA,NA
"395","Ruditapes philippinarum","Japanese carpet shell",NA,NA
"396","Ruvettus pretiosus","Oilfish",1044,"Low"
"397","Salilota australis","Tadpole codling",306,"Medium"
"398","Salvelinus alpinus alpinus","Charr",NA,NA
"399","Sarda chiliensis chiliensis","Eastern Pacific bonito",NA,NA
"400","Sarda chiliensis lineolata","Pacific bonito",NA,NA
"401","Sarda sarda","Atlantic bonito",115,"Medium"
"402","Sardinella aurita","Round sardinella",1043,"High"
"403","Sardinella brasiliensis","Brazilian sardinella",1505,"High"
"404","Sardinella gibbosa","Goldstripe sardinella",1508,"High"
"405","Sardinella lemuru","Bali sardinella",1510,"High"
"406","Sardinella longiceps","Indian oil sardine",1511,"Medium"
"407","Sardinella maderensis","Madeiran sardinella",1047,"Medium"
"408","Sardinella zunasi","Japanese sardinella",1519,"High"
"409","Sardinops sagax","South American pilchard",1477,"Medium"
"410","Saurida tumbil","Greater lizardfish",6479,"Medium"
"411","Saxidomus gigantea","Butter clam",NA,NA
"412","Scapharca cornea","Half-crenated ark",NA,NA
"413","Sciaenops ocellatus","Red drum",1191,"Medium"
"414","Scomber australasicus","Blue mackerel",116,"Medium"
"415","Scomber japonicus","Chub mackerel",117,"Medium"
"416","Scomberoides commersonnianus","Talang queenfish",1950,"Low"
"417","Scomberomorus brasiliensis","Serra Spanish mackerel",119,"Medium"
"418","Scomberomorus cavalla","King mackerel",120,"Medium"
"419","Scomberomorus commerson","Narrow-barred Spanish mackerel",121,"Medium"
"420","Scomberomorus guttatus","Indo-Pacific king mackerel",123,"Medium"
"421","Scomberomorus maculatus","Spanish mackerel",126,"Medium"
"422","Scomberomorus niphonius","Japanese Spanish mackerel",131,"Medium"
"423","Scomberomorus sierra","Pacific sierra",136,"Medium"
"424","Scomberomorus tritor","West African Spanish mackerel",141,"Medium"
"425","Scyliorhinus canicula","Smallspotted catshark",845,"Low"
"426","Scylla serrata","Indo-Pacific swamp crab",NA,"High"
"427","Sebastes alutus","Pacific ocean perch",504,"Very low"
"428","Sebastes entomelas","Widow rockfish",502,"Very low"
"429","Sebastes flavidus","Yellowtail rockfish",503,"Low"
"430","Sebastes marinus","Ocean perch",NA,NA
"431","Selar crumenophthalmus","Bigeye scad",387,"High"
"432","Selaroides leptolepis","Yellowstripe scad",388,"High"
"433","Selene dorsalis","African moonfish",379,"High"
"434","Selene setapinnis","Atlantic moonfish",378,"Medium"
"435","Semele solida","Chilean semele",NA,NA
"436","Sepia officinalis","Common cuttlefish",NA,NA
"437","Seriola dumerili","Greater amberjack",1005,"Medium"
"438","Seriola lalandi","Yellowtail amberjack",382,"Low"
"439","Seriolella brama","Common warehou",12918,"Medium"
"440","Seriolella caerulea","White warehou",12919,"Medium"
"441","Seriolella porosa","Choicy ruff",8390,"Medium"
"442","Seriolella punctata","Silver warehou",12922,"Medium"
"443","Seriolina nigrofasciata","Blackbanded trevally",1962,"Medium"
"444","Sicyonia brevirostris","Rock shrimp",NA,NA
"445","Sparus aurata","Gilthead seabream",1164,"Medium"
"446","Sphyraena barracuda","Great barracuda",1235,"Low"
"447","Spisula solidissima","Atlantic surf clam",NA,NA
"448","Spondyliosoma cantharus","Black seabream",1356,"Medium"
"449","Spratelloides gracilis","Silverstriped round herring",1458,"High"
"450","Squatina argentina","Argentine angelshark",727,"Very low"
"451","Squilla mantis","Spottail mantis squillid",NA,NA
"452","Stenotomus chrysops","Scup",452,"Medium"
"453","Stephanolepis cirrhifer","Thread-sail filefish",531,"Medium"
"454","Strangomera bentincki","Araucanian herring",1530,"High"
"455","Stromateus fiatola","Blue butterfish",1198,"Medium"
"456","Tapes pullastra","Pullet carpet shell",NA,NA
"457","Tenualosa ilisha","Hilsa shad",1596,"Medium"
"458","Tenualosa toli","Toli shad",1600,"High"
"459","Tetrapturus audax","Striped marlin",NA,NA
"460","Thenus orientalis","Flathead lobster",NA,NA
"461","Theragra chalcogramma","Alaska pollack",NA,NA
"462","Thunnus albacares","Yellowfin tuna",143,"Medium"
"463","Thunnus atlanticus","Blackfin tuna",144,"Medium"
"464","Thunnus maccoyii","Southern bluefin tuna",145,"Low"
"465","Thunnus orientalis","Pacific bluefin tuna",14290,"Medium"
"466","Thunnus tonggol","Longtail tuna",148,"Low"
"467","Thyrsites atun","Snoek",489,"Medium"
"468","Tivela mactroides","Trigonal tivela",NA,NA
"469","Todarodes pacificus","Japanese flying squid",NA,"High"
"470","Todarodes sagittatus","European flying squid",NA,NA
"471","Totoaba macdonaldi","Totoaba",6317,"Low"
"472","Trachurus capensis","Cape horse mackerel",5382,"Medium"
"473","Trachurus declivis","Greenback horse mackerel",372,"Medium"
"474","Trachurus japonicus","Japanese jack mackerel",366,"Medium"
"475","Trachurus mediterraneus","Mediterranean horse mackerel",1278,"Medium"
"476","Trachurus murphyi","Inca scad",367,"Medium"
"477","Trachurus picturatus","Blue jack mackerel",1279,"Medium"
"478","Trachurus symmetricus","Pacific jack mackerel",368,"Low"
"479","Trachurus trecae","Cunene horse mackerel",371,"Medium"
