"Taxonkey","TaxonName","CommonName","forage_fish"
400190,"Lophiidae","Goosefishes",NA
400206,"Exocoetidae","Flyingfishes",NA
400207,"Belonidae","Needlefishes",NA
400208,"Scomberesocidae","Sauries",1
400218,"Atherinidae","Silversides",1
400236,"Trachichthyidae","Slimeheads",NA
400240,"Berycidae","Alfonsinos",NA
400243,"Holocentridae","Squirrelfishes soldierfishes",NA
400249,"Zeidae","Dories",NA
400250,"Oreosomatidae","Oreos",NA
400252,"Caproidae","Boarfishes",NA
400264,"Scorpaenidae","Scorpionfishes or rockfishes",NA
400266,"Triglidae","Searobins",NA
400273,"Platycephalidae","Flatheads",NA
400277,"Cottidae","Sculpins",NA
400289,"Serranidae","Sea basses groupers fairy basslets",NA
400304,"Apogonidae","Cardinalfishes",NA
400307,"Sillaginidae","Smelt-whitings",1
400308,"Malacanthidae","Tilefishes",NA
400313,"Echeneidae","Remoras",NA
400314,"Carangidae","Jacks and pompanos",NA
400318,"Leiognathidae","Slimys slipmouths or ponyfishes",NA
400319,"Bramidae","Pomfrets",NA
400323,"Lutjanidae","Snappers",NA
400324,"Nemipteridae","Threadfin breams Whiptail breams",NA
400326,"Gerreidae","Mojarras",1
400327,"Haemulidae","Grunts",NA
400328,"Lethrinidae","Emperors or scavengers",NA
400330,"Sparidae","Porgies",NA
400331,"Sciaenidae","Drums or croakers",NA
400332,"Mullidae","Goatfishes",NA
400340,"Ephippidae","Spadefishes batfishes and scats",NA
400356,"Latridae","Trumpeters",1
400359,"Mugilidae","Mullets",NA
400361,"Polynemidae","Threadfins",NA
400362,"Labridae","Wrasses",NA
400364,"Scaridae","Parrotfishes",NA
400377,"Trachinidae","Weeverfishes",NA
400382,"Nototheniidae","Cod icefishes",NA
400383,"Bathydraconidae","Antarctic dragonfishes",NA
400384,"Channichthyidae","Crocodile icefishes",NA
400402,"Ammodytidae","Sand lances",1
400405,"Gobiidae","Gobies",NA
400412,"Acanthuridae","Surgeonfishes tangs unicornfishes",NA
400414,"Gempylidae","Snake mackerels",NA
400415,"Trichiuridae","Cutlassfishes",NA
400416,"Scombridae","Mackerels tunas bonitos",NA
400419,"Istiophoridae","Billfishes",NA
400421,"Centrolophidae","Medusafishes",NA
400425,"Stromateidae","Butterfishes",NA
400439,"Bothidae","Lefteye flounders",NA
400440,"Pleuronectidae","Righteye flounders",NA
400441,"Soleidae","Soles",NA
400442,"Cynoglossidae","Tonguefishes",NA
400445,"Balistidae","Triggerfishes",NA
400446,"Ostraciidae","Boxfishes (cowfish and trunkfish)",NA
400448,"Tetraodontidae","Puffers",NA
400454,"Engraulidae","Anchovies",1
400459,"Caesionidae","Fusiliers",NA
400460,"Pomacanthidae","Angelfishes",NA
400475,"Hemiramphidae","Halfbeaks",NA
400479,"Inermiidae","Bonnetmouths",NA
400488,"Triakidae","Houndsharks",NA
400509,"Ambassidae","Asiatic glassfishes",NA
400515,"Scophthalmidae","Turbots",NA
400517,"Monacanthidae","Filefishes",NA
400581,"Peristediidae","Armored searobins or armored gurnards",NA
400591,"Artedidraconidae","Barbled plunderfishes",NA
400595,"Macroramphosidae","Snipefishes",NA
490004,"Ommastrephidae","Arrow squids",NA
490011,"Sepiidae","Cuttlefishes",NA
490012,"Octopodidae","Octopuses",NA
490021,"Buccinidae","Buccinidae",NA
490030,"Palaemonidae","Palaemonid shrimps",NA
490031,"Portunidae","Swimming crabs",NA
490036,"Lithodidae","King crabs",NA
490039,"Palinuridae","Spiny lobsters",NA
490040,"Scyllaridae","Slipper lobsters",NA
490041,"Sergestidae","Sergestid shrimp",NA
490042,"Aristeidae","Aristeid shrimps",NA
490043,"Penaeidae","Penaeid shrimps",NA
490044,"Crangonidae","Crongonid shrimp",NA
490046,"Pandalidae","Norther shrimps",NA
490052,"Squillidae","Mantis shrimps",NA
490054,"Mytilidae","Sea mussels",NA
490055,"Pectinidae","Scallops",NA
490058,"Cardiidae","Cockles",NA
490060,"Veneridae","Venus clams",NA
490061,"Solenidae","Razor clams knife clams",NA
490063,"Mactridae","Mactra surf clams",NA
490097,"Brachyura","Marine crabs",NA
490124,"Galatheidae","Squat lobsters",NA
500048,"Paralichthys","American flounders",NA
500107,"Squalus","Dogfishes",NA
500108,"Raja","Skates",NA
500112,"Lophius","Monkfishes",NA
500116,"Coryphaena","Coryphaena",NA
500122,"Trachinus","Weevers",NA
500124,"Ammodytes","Sandlances",NA
500134,"Scorpaena","Scorpionfish",NA
500136,"Salmo","Salmon and trout",NA
500142,"Scomber","Mackerels",1
500143,"Mullus","Western goatfishes",NA
500144,"Trigla","Gurnards",NA
500147,"Argentina","Argentines",NA
500152,"Mugil","Grey mullets",NA
500211,"Trachipterus","Deaf fishes",NA
500240,"Siganus","Rabbitfishes",NA
500327,"Macrourus","Grenadiers",NA
500348,"Mustelus","Smooth-hounds",NA
500351,"Rhinobatos","Guitarfish",NA
500352,"Alosa","Shads",NA
500357,"Lutjanus","Snappers",NA
500366,"Epinephelus","Groupers",NA
500372,"Sphyraena","Barracudas",NA
500384,"Gymnothorax","Gymnothorax",NA
500467,"Caranx","Jacks",NA
500468,"Scomberoides","Queenfishes",NA
500477,"Kyphosus","Sea chubs",NA
500487,"Scomberomorus","Seerfishes",NA
500495,"Prionotus","Sea robins",NA
500504,"Centropomus","Snooks",NA
500515,"Leiognathus","Slipmouths",NA
500551,"Plotosus","Eel catfishes",NA
500598,"Trachinotus","Pompanos",NA
500618,"Solea","Soles",NA
500638,"Isurus","Mako sharks",NA
500639,"Alopias","Thresher sharks",NA
500640,"Galeus","Catsharks",NA
500642,"Etmopterus","Lanternsharks",NA
500646,"Dasyatis","Stingrays",NA
500654,"Merluccius","Hakes",NA
500661,"Trachurus","Jack and horse mackerels",1
500679,"Spicara","Picarels",NA
500686,"Gaidropsarus","Rocklings",NA
500693,"Sphyrna","Hammerhead sharks",NA
500705,"Diplodus","Seabreams and porgies",NA
500716,"Epigonus","Cardinalfishes",NA
500717,"Myoxocephalus","Sculpins",NA
500808,"Scolopsis","Monocle breams",NA
500809,"Dentex","Seabreams (Dentex spp)",NA
500814,"Scyliorhinus","Lesser catsharks",NA
500856,"Chirocentrus","Wolf herring",1
500871,"Belone","Needlefishes",NA
500901,"Serranus","Groupers",NA
500903,"Pagrus","Seabreams (Pagrus spp)",NA
500912,"Priacanthus","Bigeyes",NA
500928,"Seriola","Amberjacks",NA
500934,"Platax","Batfishes",NA
501055,"Gerres","Silver biddies",NA
501096,"Molva","Lings",NA
501129,"Beryx","Alfonsinos",NA
501132,"Upeneus","Tropical goatfishes",NA
501135,"Sebastes","Redfishes",NA
501145,"Pagellus","Pandoras",NA
501163,"Auxis","Frigate tuna",NA
501164,"Peprilus","Harvestfishes",NA
501242,"Scatophagus","Scats",NA
501327,"Micropogonias","Western croakers",NA
501345,"Tylosurus","Needlefishes",NA
501410,"Salvelinus","Char",NA
501418,"Microchirus","Iberian soles",NA
501464,"Pristiophorus","Sawsharks",NA
501486,"Lycodes","Eelpouts",NA
501523,"Nemadactylus","Porae",NA
501548,"Chrysoblephus","Seabreams",NA
501550,"Lithognathus","Steenbras",NA
501551,"Calamus","Porgies",NA
501552,"Nemipterus","Threadfin breams",NA
501677,"Cantherhines","Filefishes",NA
501826,"Muraenesox","Conger eels",NA
501905,"Thunnus","Tuna",NA
501940,"Sardinella","Sardinella",1
501941,"Harengula","Herring",1
502004,"Seriolella","Barrelfishes",NA
502102,"Decapterus","Scads",NA
502417,"Genypterus","Cusk eels",NA
502682,"Dicentrarchus","European/spotted seabass",NA
502724,"Oncorhynchus","Pacific salmon",NA
502790,"Menticirrhus","Kingcroakers",NA
502794,"Cynoscion","Weakfishes",NA
503028,"Mycteroperca","Cat groupers",NA
503078,"Hydrolagus","Chimaeras",NA
503124,"Lepidorhombus","Megrims",NA
503152,"Pseudotolithus","Croakers",NA
503328,"Notoscopelus","Lampfish",NA
503580,"Gymnocranius","Large-eye breams",NA
503685,"Gymnoscopelus","lanternfish",NA
503990,"Bathylagus","Bathylagus",NA
504054,"Muraenolepis","Moray cods",NA
504140,"Benthodesmus","Frostfishes",NA
504872,"Dissostichus","Toothfishes",NA
504943,"Pterygotrigla","Pterygotrigla",NA
504993,"Rhinochimaera","Longnose chimaeras",NA
505469,"Rastrelliger","Indo-Pacific mackerels",1
505799,"Austroglossus","Southern soles",NA
505897,"Anarhichas","Wolffish",NA
506253,"Coregonus","Whitefishes",NA
507720,"Stolephorus","Indo-Pacific anchovies",1
508611,"Bathyraja","Skates",NA
508895,"Pogonophryne","Blunderfish",NA
509125,"Sphoeroides","Puffers",NA
509289,"Hemiramphus","Halfbeaks",NA
509303,"Phycis","Gunnels forkbeards",NA
509366,"Trematomus","Antarctic rockcods",NA
520007,"Pampus","Silver pomfrets",NA
590010,"Loligo","Common squids",NA
590013,"Octopus","Octopuses",NA
590014,"Crassostrea","Cupped oysters",NA
590024,"Eledone","Horned and musky octopuses",NA
590046,"Haliotis","Abalones",NA
590049,"Littorina","Periwinkles",NA
590050,"Murex","Murex shells",NA
590051,"Strombus","Stromboid conchs",NA
590053,"Turbo","Turbo snails",NA
590062,"Callinectes","Blue crabs",NA
590065,"Chionoecetes","Pacific snow crabs",NA
590067,"Geryon","Deepsea crabs",NA
590070,"Lithodes","Lithodes",NA
590073,"Paralithodes","King crabs",NA
590074,"Paralomis","Paralomis",NA
590075,"Portunus","Swims crabs",NA
590079,"Metanephrops","Lobsterette",NA
590082,"Palinurus","Spiny lobsters",NA
590083,"Panulirus","Tropical spiny lobsters",NA
590088,"Crangon","Sand shrimps",NA
590089,"Haliporoides","Knife shrimps",NA
590091,"Metapenaeus","Metapenaeus shrimps",NA
590093,"Pandalus","Pandalus shrimps",NA
590094,"Parapenaeopsis","Shrimps",NA
590096,"Penaeus","Penaeus shrimps",NA
590103,"Euphausia","Euphausia",NA
590107,"Lepas","Goose barnacles",NA
590110,"Busycon","Whelks",NA
590111,"Rapana","Sea snails",NA
590112,"Ostrea","Flat oysters",NA
590116,"Modiolus","Horse mussels",NA
590117,"Mytilus","Mussels",NA
590124,"Anadara","Anadara clams",NA
590125,"Arca","Ark clams",NA
590128,"Donax","Donax clams",NA
590134,"Meretrix","Hard clams",NA
590137,"Mulinia","Taquilla clams",NA
590139,"Paphia","Short neck clams",NA
590145,"Solen","Razor clams",NA
590146,"Spisula","Surf clam",NA
590147,"Tapes","Tapes clams",NA
590242,"Patella","Limpets",NA
590244,"Scyllarides","Scyllarides",NA
590252,"Cymbium","Gondolas",NA
590260,"Sclerocrangon","Sculptured shrimps",NA
590262,"Tellina","Tellins",NA
590269,"Tresus","Gaper clams",NA
590272,"Charybdis","Indo-Pacific swimming crabs",NA
600004,"Engraulis ringens","Anchoveta",NA
600005,"Orthopristis chrysoptera","Pigfish",NA
600006,"Coryphaena hippurus","Common dolphinfish",NA
600015,"Epinephelus guttatus","Red hind",NA
600017,"Epinephelus morio","Red grouper",NA
600018,"Epinephelus striatus","Nassau grouper",NA
600020,"Argentina sphyraena","Argentine",NA
600024,"Clupea harengus","Atlantic herring",1
600026,"Glyptocephalus cynoglossus","Witch",NA
600027,"Lepidorhombus boscii","Fourspotted megrim",NA
600028,"Lepidorhombus whiffiagonis","Megrim",NA
600029,"Merlangius merlangus","Whiting",NA
600030,"Merluccius merluccius","European hake",NA
600031,"Micromesistius poutassou","Blue whiting",1
600032,"Microchirus variegatus","Thickback sole",NA
600033,"Molva molva","Ling",NA
600034,"Pollachius pollachius","Pollack",NA
600041,"Arnoglossus laterna","Scaldfish",NA
600044,"Aspitrigla cuculus","East Atlantic red gurnard",NA
600045,"Atherina presbyter","Sand smelt",NA
600047,"Belone belone","Garpike",NA
600051,"Brosme brosme","Tusk",NA
600054,"Capros aper","Boarfish",NA
600056,"Cepola macrophthalma","Red bandfish",NA
600058,"Coris julis","Mediterranean rainbow wrasse",NA
600059,"Symphodus melops","Corkwing wrasse",NA
600061,"Ctenolabrus rupestris","Goldsinny-wrasse",NA
600062,"Cyclopterus lumpus","Lumpsucker",NA
600063,"Dicentrarchus labrax","European seabass",NA
600066,"Engraulis encrasicolus","European anchovy",NA
600068,"Eutrigla gurnardus","Grey gurnard",NA
600069,"Gadus morhua","Atlantic cod",NA
600071,"Caranx hippos","Crevalle jack",NA
600072,"Gobius niger","Black goby",NA
600076,"Helicolenus dactylopterus dactylopterus","Blackbelly rosefish",NA
600077,"Istiophorus platypterus","Indo-Pacific sailfish",NA
600078,"Istiophorus albicans","Atlantic sailfish",NA
600083,"Aphareus rutilans","Rusty jobfish",NA
600084,"Aprion virescens","Green jobfish",NA
600088,"Lamna nasus","Porbeagle",NA
600089,"Acanthocybium solandri","Wahoo",NA
600090,"Cetorhinus maximus","Basking shark",NA
600093,"Auxis rochei rochei","Bullet tuna",NA
600094,"Auxis thazard thazard","Frigate tuna",NA
600096,"Euthynnus affinis","Kawakawa",NA
600097,"Euthynnus alletteratus","Little tunny",NA
600098,"Euthynnus lineatus","Black skipjack",NA
600101,"Alosa alosa","Allis shad",NA
600105,"Alosa immaculata","Pontic shad",NA
600106,"Gymnosarda unicolor","Dogtooth tuna",NA
600107,"Katsuwonus pelamis","Skipjack tuna",NA
600108,"Orcynopsis unicolor","Plain bonito",NA
600109,"Rastrelliger brachysoma","Short mackerel",1
600111,"Rastrelliger kanagurta","Indian mackerel",1
600113,"Sarda chiliensis chiliensis","Eastern Pacific bonito",NA
600114,"Sarda orientalis","Striped bonito",NA
600115,"Sarda sarda","Atlantic bonito",NA
600116,"Scomber australasicus","Blue mackerel",1
600117,"Scomber japonicus","Chub mackerel",1
600118,"Scomber scombrus","Atlantic mackerel",1
600119,"Scomberomorus brasiliensis","Serra Spanish mackerel",1
600120,"Scomberomorus cavalla","King mackerel",1
600121,"Scomberomorus commerson","Narrow-barred Spanish mackerel",1
600123,"Scomberomorus guttatus","Indo-Pacific king mackerel",1
600125,"Scomberomorus lineolatus","Streaked seerfish",NA
600126,"Scomberomorus maculatus","Spanish mackerel",1
600131,"Scomberomorus niphonius","Japanese Spanish mackerel",1
600134,"Scomberomorus regalis","Cero",NA
600136,"Scomberomorus sierra","Pacific sierra",NA
600138,"Somniosus microcephalus","Greenland shark",NA
600139,"Squalus acanthias","Piked dogfish",NA
600140,"Rhinobatos percellens","Chola guitarfish",NA
600141,"Scomberomorus tritor","West African Spanish mackerel",1
600142,"Thunnus alalunga","Albacore",NA
600143,"Thunnus albacares","Yellowfin tuna",NA
600144,"Thunnus atlanticus","Blackfin tuna",NA
600145,"Thunnus maccoyii","Southern bluefin tuna",NA
600146,"Thunnus obesus","Bigeye tuna",NA
600147,"Thunnus thynnus","Atlantic bluefin tuna",NA
600148,"Thunnus tonggol","Longtail tuna",NA
600149,"Rhinobatos planiceps","Pacific guitarfish",NA
600152,"Lutjanus guttatus","Spotted rose snapper",NA
600156,"Lutjanus kasmira","Common bluestripe snapper",NA
600162,"Lutjanus malabaricus","Malabar blood snapper",NA
600167,"Callorhinchus capensis","Cape elephantfish",NA
600171,"Lutjanus purpureus","Southern red snapper",NA
600172,"Lutjanus quinquelineatus","Five-lined snapper",NA
600175,"Elops saurus","Ladyfish",NA
600181,"Lutjanus synagris","Lane snapper",NA
600185,"Lutjanus vivanus","Silk snapper",NA
600188,"Ocyurus chrysurus","Yellowtail snapper",NA
600203,"Boops boops","Bogue",NA
600204,"Sarpa salpa","Salema",NA
600206,"Pristipomoides macrophthalmus","Cardinal snapper",NA
600213,"Rhomboplites aurorubens","Vermilion snapper",NA
600216,"Makaira nigricans","Atlantic blue marlin",NA
600217,"Makaira indica","Black marlin",NA
600218,"Makaira mazara","Indo-Pacific blue marlin",NA
600219,"Tetrapturus albidus","Atlantic white marlin",NA
600220,"Tetrapturus pfluegeri","Longbill spearfish",NA
600223,"Tetrapturus audax","Striped marlin",NA
600226,"Xiphias gladius","Swordfish",NA
600227,"Megalops cyprinoides","Indo-Pacific tarpon",NA
600228,"Albula vulpes","Bonefish",NA
600229,"Pterothrissus belloci","Longfin bonefish",NA
600230,"Alepocephalus bairdii","Bairds smooth-head",NA
600231,"Coregonus albula","Vendace",NA
600232,"Coregonus lavaretus","Common whitefish",NA
600233,"Coregonus oxyrinchus","Houting",NA
600236,"Salmo salar","Atlantic salmon",NA
600238,"Salmo trutta trutta","Sea trout",NA
600239,"Oncorhynchus mykiss","Rainbow trout",NA
600240,"Oncorhynchus gorbuscha","Pink salmon",NA
600241,"Oncorhynchus keta","Chum salmon",NA
600242,"Oncorhynchus masou masou","Cherry salmon",NA
600243,"Oncorhynchus nerka","Sockeye salmon",NA
600244,"Oncorhynchus tshawytscha","Chinook salmon",NA
600245,"Oncorhynchus kisutch","Coho salmon",NA
600247,"Salvelinus alpinus alpinus","Charr",NA
600249,"Centrolophus niger","Blackfish",NA
600250,"Schedophilus ovalis","Imperial blackfish",NA
600252,"Mallotus villosus","Capelin",1
600253,"Osmerus mordax mordax","Atlantic rainbow smelt",NA
600255,"Hypomesus pretiosus","Surf smelt",NA
600256,"Thaleichthys pacificus","Eulachon",NA
600259,"Lampanyctodes hectoris","Hectors lanternfish",NA
600260,"Harpadon nehereus","Bombay duck",NA
600264,"Lutjanus johnii","Johns snapper",NA
600265,"Lutjanus gibbus","Humpback red snapper",NA
600266,"Lutjanus griseus","Grey snapper",NA
600288,"Galeichthys feliceps","White baggar",NA
600298,"Muraenesox cinereus","Daggertooth pike conger",NA
600299,"Conger orbignianus","Argentine conger",NA
600300,"Conger oceanicus","American conger",NA
600301,"Conger conger","European conger",NA
600302,"Conger myriaster","Whitespotted conger",NA
600303,"Cololabis saira","Pacific saury",NA
600305,"Hyporhamphus sajori","Japanese halfbeak",NA
600306,"Salilota australis","Tadpole codling",NA
600308,"Gadus macrocephalus","Pacific cod",NA
600309,"Gadus ogac","Greenland cod",NA
600311,"Urophycis brasiliensis","Brazilian codling",NA
600312,"Urophycis chuss","Red hake",NA
600313,"Urophycis tenuis","White hake",NA
600314,"Eleginus nawaga","Navaga",NA
600315,"Eleginus gracilis","Saffron cod",NA
600316,"Microgadus tomcod","Atlantic tomcod",NA
600318,"Theragra chalcogramma","Alaska pollack",NA
600319,"Boreogadus saida","Polar cod",NA
600320,"Micromesistius australis","Southern blue whiting",1
600321,"Merluccius senegalensis","Senegalese hake",NA
600322,"Merluccius australis","Southern hake",NA
600323,"Merluccius bilinearis","Silver hake",NA
600324,"Merluccius gayi gayi","South Pacific hake",NA
600325,"Merluccius hubbsi","Argentine hake",NA
600326,"Merluccius productus","North Pacific hake",NA
600327,"Merluccius polli","Benguela hake",NA
600329,"Macruronus magellanicus","Patagonian grenadier",NA
600331,"Macrourus berglax","Onion-eye grenadier",NA
600332,"Coryphaenoides rupestris","Roundnose grenadier",NA
600333,"Macroramphosus scolopax","Longspine snipefish",NA
600334,"Hoplostethus atlanticus","Orange roughy",NA
600336,"Zenopsis conchifer","Silvery John dory",NA
600338,"Joturus pichardi","Bobo mullet",NA
600339,"Menidia menidia","Atlantic silverside",NA
600340,"Eleutheronema tetradactylum","Fourfinger threadfin",NA
600341,"Galeoides decadactylus","Lesser African threadfin",NA
600342,"Pentanemus quinquarius","Royal threadfin",NA
600345,"Centropomus undecimalis","Common snook",NA
600346,"Lates calcarifer","Barramundi",NA
600348,"Epinephelus analogus","Spotted grouper",NA
600349,"Polyprion americanus","Wreckfish",NA
600350,"Polyprion oxygeneios","Hapuka",NA
600351,"Acanthistius brasilianus","Sea bass",NA
600352,"Paralabrax humeralis","Peruvian rock seabass",NA
600353,"Morone saxatilis","Striped sea-bass",NA
600355,"Morone americana","White perch",NA
600356,"Priacanthus macracanthus","Red bigeye",NA
600357,"Synagrops japonicus","Japanese splitfin",NA
600361,"Centropristis striata","Black seabass",NA
600362,"Lopholatilus chamaeleonticeps","Great northern tilefish",NA
600363,"Lactarius lactarius","False trevally",NA
600364,"Pomatomus saltatrix","Bluefish",NA
600366,"Trachurus japonicus","Japanese jack mackerel",1
600367,"Trachurus murphyi","Inca scad",NA
600368,"Trachurus symmetricus","Pacific jack mackerel",1
600369,"Trachurus lathami","Rough scad",NA
600371,"Trachurus trecae","Cunene horse mackerel",1
600372,"Trachurus declivis","Greenback horse mackerel",1
600374,"Decapterus russelli","Indian scad",NA
600378,"Selene setapinnis","Atlantic moonfish",NA
600379,"Selene dorsalis","African moonfish",NA
600380,"Trachinotus carolinus","Florida pompano",NA
600382,"Seriola lalandi","Yellowtail amberjack",NA
600384,"Megalaspis cordyla","Torpedo scad",NA
600385,"Chloroscombrus chrysurus","Atlantic bumper",NA
600386,"Parona signata","Parona leatherjacket",NA
600387,"Selar crumenophthalmus","Bigeye scad",NA
600388,"Selaroides leptolepis","Yellowstripe scad",NA
600390,"Mene maculata","Moonfish",NA
600391,"Brama brama","Atlantic pomfret",NA
600392,"Arripis georgianus","Australian ruff",NA
600394,"Dicentrarchus punctatus","Spotted seabass",NA
600395,"Emmelichthys nitidus nitidus","Redbait",NA
600396,"Nemipterus virgatus","Golden threadfin bream",NA
600397,"Isacia conceptionis","Cabinza grunt",NA
600398,"Plectorhinchus mediterraneus","Rubberlip grunt",NA
600399,"Pomadasys argenteus","Silver grunt",NA
600400,"Brachydeuterus auritus","Bigeye grunt",NA
600401,"Conodon nobilis","Barred grunt",NA
600403,"Cynoscion analis","Peruvian weakfish",NA
600405,"Cynoscion nebulosus","Spotted weakfish",NA
600406,"Cynoscion regalis","Gray weakfish",NA
600407,"Cynoscion striatus","South American striped weakfish",NA
600408,"Micropogonias undulatus","Atlantic croaker",NA
600410,"Menticirrhus saxatilis","Northern kingcroaker",NA
600411,"Menticirrhus littoralis","Gulf kingcroaker",NA
600412,"Elagatis bipinnulata","Rainbow runner",NA
600413,"Umbrina canosai","Argentine croaker",NA
600416,"Larimichthys polyactis","Yellow croaker",NA
600417,"Macrodon ancylodon","King weakfish",NA
600418,"Argyrosomus regius","Meagre",NA
600419,"Argyrosomus hololepidotus","Southern meagre",NA
600420,"Atractoscion aequidens","Geelbeck croaker",NA
600422,"Genyonemus lineatus","White croaker",NA
600423,"Pteroscion peli","Boe drum",NA
600424,"Paralonchurus peruanus","Peruvian banded croaker",NA
600425,"Pogonias cromis","Black drum",NA
600426,"Epinephelus aeneus","White grouper",NA
600427,"Nibea mitsukurii","Nibe croaker",NA
600428,"Larimichthys crocea","Large yellow croaker",NA
600429,"Leiostomus xanthurus","Spot croaker",NA
600432,"Pseudotolithus senegalensis","Cassava croaker",NA
600433,"Pseudotolithus elongatus","Bobo croaker",NA
600434,"Pennahia argentata","White croaker",NA
600436,"Pagellus bellottii","Red pandora",NA
600438,"Dentex macrophthalmus","Large-eye dentex",NA
600439,"Dentex dentex","Common dentex",NA
600440,"Dentex angolensis","Angola dentex",NA
600441,"Archosargus probatocephalus","Sheepshead seabream",NA
600442,"Argyrops spinifer","King soldierbream",NA
600443,"Argyrozona argyrozona","Carpenter seabream",NA
600444,"Cheimerius nufar","Santer seabream",NA
600447,"Petrus rupestris","Red steenbras",NA
600448,"Pterogymnus laniarius","Panga seabream",NA
600449,"Rhabdosargus globiceps","White stumpnose",NA
600450,"Lithognathus lithognathus","White steenbras",NA
600452,"Stenotomus chrysops","Scup",NA
600453,"Pseudupeneus prayensis","West African goatfish",NA
600458,"Tautoga onitis","Tautog",NA
600460,"Nemadactylus bergi","White morwong",NA
600461,"Cheilodactylus variegatus","Peruvian morwong",NA
600463,"Arctoscopus japonicus","Sailfin sandfish",NA
600464,"Parapercis colias","Blue cod",NA
600465,"Percophis brasiliensis","Brazilian flathead",NA
600466,"Eleginops maclovinus","Patagonian blennie",NA
600467,"Dissostichus eleginoides","Patagonian toothfish",NA
600468,"Notothenia rossii","Marbled rockcod",NA
600472,"Pleuragramma antarcticum","Antarctic silverfish",NA
600473,"Chaenocephalus aceratus","Blackfin icefish",NA
600474,"Champsocephalus gunnari","Mackerel icefish",1
600475,"Pseudochaenichthys georgianus","South Georgia icefish",NA
600476,"Chionodraco rastrospinosus","Ocellated icefish",NA
600477,"Channichthys rhinoceratus","Unicorn icefish",NA
600478,"Chaenodraco wilsoni","Spiny icefish",NA
600479,"Zoarces viviparus","Viviparous blenny",NA
600480,"Zoarces americanus","Ocean pout",NA
600481,"Trisopterus minutus","Poor cod",NA
600482,"Genypterus blacodes","Pink cusk-eel",NA
600483,"Genypterus chilensis","Red cusk-eel",NA
