"","sciname","common","Resilience","SpecCode"
"87","Capros aper","Boarfish","Low",54
"88","Carangoides bajad","Orangespotted trevally","Medium",1923
"89","Carangoides chrysophrys","Longnose trevally","Medium",4441
"90","Caranx crysos","Blue runner","Medium",1933
"91","Caranx hippos","Crevalle jack","Medium",71
"92","Caranx ignobilis","Giant trevally","Medium",1895
"93","Caranx latus","Horse-eye jack","Low",1935
"94","Caranx melampygus","Bluefin trevally","Medium",1906
"95","Caranx rhonchus","False scad","Medium",1899
"96","Caranx ruber","Bar jack","Medium",1918
"97","Caranx sexfasciatus","Bigeye trevally","Medium",1917
"98","Carcharhinus amblyrhynchos","Blacktail reef shark","Very low",861
"99","Carcharhinus falciformis","Silky shark","Low",868
"100","Carcharhinus longimanus","Oceanic whitetip shark","Very low",875
"101","Carcharhinus melanopterus","Blacktip reef shark","Low",877
"102","Carcharhinus sorrah","Spottail shark","Low",884
"103","Carcinus maenas","Green crab",NA,NA
"104","Cardium edule","Common edible cockle",NA,NA
"105","Carlarius heudelotii","Smoothmouth sea catfish","Low",4928
"106","Cathorops spixii","Madamango sea catfish","Medium",960
"107","Caulolatilus princeps","Ocean whitefish","Low",3539
"108","Centroberyx affinis","Redfish","Medium",14129
"109","Centropomus undecimalis","Common snook","Medium",345
"110","Centropristis striata","Black seabass","Medium",361
"111","Cephalopholis boenak","Chocolate hind","Medium",6444
"112","Cerastoderma edule","Common cockle",NA,NA
"113","Cervimunida johni","Carrot squat lobster",NA,NA
"114","Cetengraulis edentulus","Atlantic anchoveta","Medium",547
"115","Cetengraulis mysticetus","Pacific anchoveta","High",548
"116","Chaceon maritae","West African geryon",NA,NA
"117","Chaceon notialis","Red crab",NA,NA
"118","Chamelea gallina","Striped venus",NA,NA
"119","Champsocephalus gunnari","Mackerel icefish","Medium",474
"120","Chanos chanos","Milkfish","Low",80
"121","Cheilopogon melanurus","Atlantic flyingfish","High",1030
"122","Chelidonichthys cuculus","Red gurnard","Medium",44
"123","Chelidonichthys kumu","Bluefin gurnard","Medium",507
"124","Chelidonichthys lucerna","Tub gurnard","Low",1366
"125","Chelon auratus","Golden grey mullet","Medium",1735
"126","Chiloscyllium arabicum","Arabian carpetshark","Low",5901
"127","Chionoecetes japonicus","Red snow crab",NA,NA
"128","Chionoecetes opilio","Snow crab",NA,NA
"129","Chirocentrus dorab","Dorab wolf-herring","Medium",6358
"130","Chirocentrus nudus","Whitefin wolf-herring","Medium",1452
"131","Chlamys islandica","Iceland scallop",NA,NA
"132","Chloroscombrus chrysurus","Atlantic bumper","Medium",385
"133","Chloroscombrus orqueta","Pacific bumper","High",1937
"134","Cilus gilberti","Corvina drum","Medium",26675
"135","Clupanodon thrissa","Chinese gizzard shad","High",1608
"136","Clupeonella cultriventris","Black and Caspian Sea sprat","Medium",1470
"137","Coilia dussumieri","Goldspotted grenadier anchovy","High",625
"138","Cololabis saira","Pacific saury","High",303
"139","Concholepas concholepas","False abalone",NA,NA
"140","Conger conger","European conger","Low",301
"141","Conger myriaster","Whitespotted conger","Medium",302
"142","Congresox talabonoides","Indian pike conger","High",11713
"143","Conodon nobilis","Barred grunt","Medium",401
"144","Coregonus albula","Vendace","Medium",231
"145","Coregonus autumnalis","Arctic cisco","Low",2669
"146","Coregonus muksun","Muksun","Low",12547
"147","Coregonus sardinella","Sardine cisco","Medium",2678
"148","Coryphaena hippurus","Common dolphinfish","High",6
"149","Crangon crangon","Common shrimp",NA,NA
"150","Crassostrea gigas","Pacific cupped oyster",NA,NA
"151","Crassostrea rhizophorae","Mangrove cupped oyster",NA,NA
"152","Crassostrea virginica","American cupped oyster",NA,NA
"153","Cyclopsetta querna","Toothed flounder","High",13954
"154","Cyclopterus lumpus","Lumpfish","Low",62
"155","Cynoglossus canariensis","Canary tonguesole","Medium",4948
"156","Cynoglossus cynoglossus","Bengal tongue sole","High",5456
"157","Cynoglossus monodi","Guinean tonguesole","Medium",4950
"158","Cynoscion acoupa","Acoupa weakfish","Medium",1169
"159","Cynoscion analis","Peruvian weakfish","Medium",403
"160","Cynoscion arenarius","Sand weakfish","Medium",1170
"161","Cynoscion guatucupa","Stripped weakfish","Medium",52918
"162","Cynoscion jamaicensis","Jamaica weakfish","High",1171
"163","Cynoscion leiarchus","Smooth weakfish","Medium",1173
"164","Cynoscion nebulosus","Spotted weakfish","Medium",405
"165","Cynoscion regalis","Squeteague","Medium",406
"166","Cynoscion striatus","Striped weakfish","Medium",407
"167","Cynoscion virescens","Green weakfish","Low",1178
"168","Cypselurus poecilopterus","Yellowing flyingfish","High",5122
"169","Decapterus macarellus","Mackerel scad","High",993
"170","Decapterus macrosoma","Shortfin scad","High",1938
"171","Decapterus maruadsi","Japanese scad","High",1939
"172","Decapterus punctatus","Round scad","High",994
"173","Decapterus russelli","Indian scad","Medium",374
"174","Dentex dentex","Common dentex","Low",439
"175","Dentex gibbosus","Pink dentex","Medium",4536
"176","Dentex macrophthalmus","Large-eye dentex","Medium",438
"177","Dentex tumifrons","Yellowback seabream","Medium",4710
"178","Diapterus rhombeus","Caitipa mojarra","High",1048
"179","Dicentrarchus labrax","European seabass","Medium",63
"180","Diplectrum formosum","Sand perch","High",1203
"181","Diplectrum pacificum","Inshore sand perch","Medium",14248
"182","Diplodus annularis","Annular seabream","Medium",1752
"183","Diplodus sargus sargus","White seabream",NA,NA
"184","Diplodus vulgaris","Common two-banded seabream","Medium",1754
"185","Dissostichus eleginoides","Patagonian toothfish","Low",467
"186","Dissostichus mawsoni","Antarctic toothfish","Low",7039
"187","Doryteuthis gahi","Patagonian squid",NA,NA
"188","Doryteuthis opalescens","California market squid",NA,NA
"189","Doryteuthis pealeii","Longfin inshore squid",NA,NA
"190","Dosidicus gigas","Jumbo flying squid","High",58134
"191","Drepane africana","African sicklefish","Medium",455
"192","Drepane punctata","Spotted sicklefish","Medium",454
"193","Dussumieria acuta","Rainbow sardine","High",1453
"194","Elagatis bipinnulata","Rainbow runner","Medium",412
"195","Eledone cirrhosa","Horned octopus",NA,NA
"196","Eleginus gracilis","Saffron cod","Medium",315
"197","Eleginus nawaga","Navaga","Medium",314
"198","Eleutheronema tetradactylum","Fourfinger threadfin","Medium",340
"199","Elops lacerta","West African ladyfish","Medium",4959
"200","Elops saurus","Ladyfish","Medium",175
"201","Engraulis anchoita","Argentine anchovy","Medium",1659
"202","Engraulis capensis","Southern African anchovy","High",64907
"203","Engraulis japonicus","Japanese anchovy","High",1663
"204","Engraulis mordax","Californian anchovy","Medium",1664
"205","Engraulis ringens","Anchoveta","High",4
"206","Eopsetta jordani","Petrale sole","Medium",4237
"207","Epigonus telescopus","Black cardinal fish","Very low",2508
"208","Epinephelus aeneus","White grouper","Medium",426
"209","Epinephelus areolatus","Areolate grouper","Low",5367
"210","Epinephelus coioides","Orange-spotted grouper","Low",6465
"211","Epinephelus goreensis","Dungat grouper","Medium",4961
"212","Epinephelus maculatus","Highfin grouper","Medium",5350
"213","Epinephelus marginatus","Dusky grouper","Low",6470
"214","Epinephelus morio","Red grouper","Medium",17
"215","Epinephelus striatus","Nassau grouper","Low",18
"216","Epinephelus tauvina","Greasy grouper","Low",4461
"217","Erimacrus isenbeckii","Hair Crab",NA,NA
"218","Escualosa thoracata","White sardine","High",1522
"219","Esox lucius","Northern pike","Low",258
"220","Ethmalosa fimbriata","Bonga shad","High",1594
"221","Ethmidium maculatum","Pacific menhaden","High",1593
"222","Etrumeus whiteheadi","Whitehead's round herring","High",1456
"223","Euphausia superba","Antarctic krill",NA,NA
"224","Euthynnus affinis","Kawakawa","Medium",96
"225","Euthynnus alletteratus","Little tunny","Medium",97
"226","Eutrigla gurnardus","Grey gurnard","Medium",68
"227","Evibacus princeps","Shield fan lobster",NA,NA
"228","Farfantepenaeus aztecus","Northern brown shrimp",NA,NA
"229","Farfantepenaeus brasiliensis","Redspotted shrimp",NA,NA
"230","Farfantepenaeus brevirostris","Crystal shrimp",NA,NA
"231","Farfantepenaeus californiensis","Yellowleg shrimp",NA,NA
"232","Farfantepenaeus duorarum","Northern pink shrimp",NA,NA
"233","Farfantepenaeus notialis","Southern pink shrimp",NA,NA
"234","Farfantepenaeus paulensis","Sao Paulo shrimp",NA,NA
"235","Farfantepenaeus subtilis","Southern brown shrimp",NA,NA
"236","Fenneropenaeus chinensis","Fleshy prawn",NA,NA
"237","Fenneropenaeus indicus","Indian white prawn",NA,NA
"238","Fenneropenaeus merguiensis","Banana prawn",NA,NA
"239","Fistularia corneta","Pacific cornetfish",NA,8289
"240","Galeoides decadactylus","Lesser African threadfin","Medium",341
"241","Genyatremus luteus","Torroto grunt","Medium",7535
"242","Genypterus blacodes","Pink cusk-eel","Low",482
"243","Genypterus capensis","Kingklip","Low",485
"244","Genypterus maculatus","Black cusk-eel","Medium",484
"245","Gerres nigri","Guinean striped mojarra","High",9907
"246","Gerres oyena","Common silver-biddy","High",5996
"247","Glaucostegus granulatus","Granulated guitarfish","Low",8731
"248","Glycymeris glycymeris","Dog cockle",NA,NA
"249","Glyptocephalus cynoglossus","Witch flounder","Medium",26
"250","Glyptocephalus zachirus","Rex sole","Low",4238
"251","Gnathanodon speciosus","Golden trevally","Medium",4464
"252","Gobionotothen gibberifrons","Humped rockcod","Low",7041
"253","Grammoplites suppositus","Spotfin flathead","Medium",28128
"254","Haemulon boschmae","Bronzestripe grunt","High",1130
"255","Haemulon plumierii","White grunt","Medium",1140
"256","Haemulon steindachneri","Chere-chere grunt","Medium",1142
"257","Haliotis fulgens","Green abalone",NA,NA
"258","Haliotis midae","Perlemoen abalone",NA,NA
"259","Haliotis rubra","Blacklip abalone",NA,NA
"260","Haliporoides triarthrus","Knife shrimp","High",25488
"261","Harengula clupeola","False herring","High",1478
"262","Harpadon nehereus","Bombay-duck","High",260
"263","Heterocarpus reedi","Chilean nylon shrimp",NA,NA
"264","Hexagrammos otakii","Fat grrenling","Medium",6598
"265","Himantura uarnak","Honeycomb stingray","Very low",5507
"266","Hippoglossoides elassodon","Flathead sole","Low",519
"267","Hippoglossoides platessoides","American plaice","Low",4239
"268","Hippoglossus hippoglossus","Atlantic halibut","Very low",1371
"269","Hippoglossus stenolepis","Pacific halibut","Low",514
"270","Homarus americanus","American lobster",NA,NA
"271","Homarus gammarus","European lobster",NA,NA
"272","Hydrolagus novaezealandiae","Dark ghost shark","Low",13146
"273","Hyperoglyphe antarctica","Bluenose warehou","Medium",496
"274","Hypoptychus dybowskii","Korean sandlance","High",488
"275","Hyporhamphus sajori","Japanese halfbeak","Medium",305
"276","Ilisha africana","West African ilisha","High",1625
"277","Ilisha elongata","Elongate ilisha","Medium",1627
"278","Illex argentinus","Argentine shortfin squid","High",57274
"279","Illex illecebrosus","Northern shortfin squid",NA,NA
"280","Isacia conceptionis","Cabinza grunt","Medium",397
"281","Isopisthus parvipinnis","Bigtooth corvina","Medium",1179
"282","Istiompax indica","Black marlin","Medium",217
"283","Istiophorus albicans","Atlantic sailfish","Medium",78
"284","Istiophorus platypterus","Indo-Pacific sailfish","Low",77
"285","Isurus oxyrinchus","Shortfin mako","Low",752
"286","Jasus edwardsii","Red rock lobster","Medium",21090
"287","Jasus lalandii","Cape rock lobster",NA,NA
"288","Kajikia audax","Striped marlin",NA,223
"289","Kathetostoma giganteum","Giant stargazer","Medium",12920
"290","Katsuwonus pelamis","Skipjack tuna","Medium",107
"291","Konosirus punctatus","Dotted gizzard shad","High",1609
"292","Lactarius lactarius","False trevally","High",363
"293","Laemonema longipes","Longfin codling","Low",2014
"294","Lampanyctodes hectoris","Hector's lanternfish","High",259
"295","Larimichthys crocea","Large yellow croaker","Medium",428
"296","Larimichthys polyactis","Yellow croaker","Medium",416
"297","Larimus breviceps","Shorthead drum","High",1180
"298","Larimus pacificus","Pacific drum","High",14009
"299","Lateolabrax japonicus","Japanese seabass","Medium",4589
"300","Lates calcarifer","Barramundi","Medium",346
"301","Leiognathus equulus","Common ponyfish",NA,NA
"302","Leiostomus xanthurus","Spot croaker","High",429
"303","Lepidonotothen squamifrons","Grey rockcod","Low",7045
"304","Lepidopsetta bilineata","Rock sole","Low",24237
"305","Lepidopus caudatus","Silver scabbardfish","Medium",645
"306","Lepidorhynchus denticulatus","Thorntooth grenadier","Low",8483
"307","Leptomelanosoma indicum","Indian threadfin","Medium",4469
"308","Lepturacanthus savala","Savalai hairtail","High",8314
"309","Lethrinus lentjan","Pink ear emperor","Medium",1863
"310","Lethrinus mahsena","Sky emperor","Medium",1843
"311","Lethrinus nebulosus","Spangled emperor","Low",1846
"312","Lethrinus olivaceus","Longface emperor","Low",1864
"313","Leucoraja naevus","Cuckoo ray","Low",4326
"314","Lichia amia","Leerfish","Medium",692
"315","Limanda aspera","Yellowfin sole","Low",520
"316","Limanda ferruginea","Yellowtail flounder","Medium",521
"317","Liparis tanakae","Tanaka's snailfish","Medium",24115
"318","Lithodes aequispinus","Same-spine stone crab",NA,NA
"319","Lithodes antarcticus","Southern king crab",NA,NA
"320","Lithognathus mormyrus","Sand steenbras","Medium",706
"321","Litopenaeus occidentalis","Western white shrimp",NA,NA
"322","Litopenaeus schmitti","Southern white shrimp",NA,NA
"323","Litopenaeus setiferus","Northern white shrimp",NA,NA
"324","Litopenaeus stylirostris","Blue shrimp",NA,NA
"325","Litopenaeus vannamei","Whiteleg shrimp",NA,NA
"326","Littorina littorea","Common periwinkle",NA,NA
"327","Liza haematocheila","So-iny mullet",NA,NA
"328","Liza klunzingeri","Klunzinger's mullet",NA,NA
"329","Lobatus gigas","Pink conch",NA,NA
"330","Lobotes surinamensis","Tripletail","High",1077
"331","Lophius americanus","American angler","Low",532
"332","Lophius gastrophysus","Blackfin goosefish","Medium",1078
"333","Lophius vomerinus","Devil anglerfish","Low",10256
"334","Loxechinus albus","Chilean sea urchin",NA,NA
"335","Lutjanus analis","Mutton snapper","Medium",1403
"336","Lutjanus argentimaculatus","Mangrove red snapper","Medium",1407
"337","Lutjanus argentiventris","Yellow snapper","Low",1408
"338","Lutjanus bohar","Two-spot red snapper","Medium",1417
"339","Lutjanus campechanus","Northern red snapper","Medium",1423
"340","Lutjanus gibbus","Humpback red snapper","Medium",265
"341","Lutjanus griseus","Grey snapper","Medium",266
"342","Lutjanus guttatus","Spotted rose snapper","Medium",152
"343","Lutjanus johnii","John's snapper","Medium",264
"344","Lutjanus malabaricus","Malabar blood snapper","Low",162
"345","Lutjanus peru","Pacific red snapper","Medium",170
"346","Lutjanus purpureus","Southern red snapper","Low",171
"347","Lutjanus quinquelineatus","Five-lined snapper","Low",172
"348","Lutjanus synagris","Lane snapper","Medium",181
"349","Macrodon ancylodon","King weakfish","Medium",417
"350","Macroramphosus scolopax","Longspine snipefish","Medium",333
"351","Macrourus berglax","Roughhead grenadier","Low",331
"352","Macrourus carinatus","Ridge scaled rattail","Low",7137
"353","Macruronus magellanicus","Patagonian grenadier","Low",329
"354","Macruronus novaezelandiae","Blue grenadier","Low",1825
"355","Makaira nigricans","Blue marlin","Medium",216
"356","Mallotus villosus","Capelin","Medium",252
"357","Marsupenaeus japonicus","Kuruma prawn",NA,NA
"358","Martialia hyadesi","Sevenstar flying squid",NA,NA
"359","Megalaspis cordyla","Torpedo scad","Medium",384
"360","Megalops atlanticus","Tarpon","Low",1079
"361","Megastraea undosa","Wavy turban",NA,NA
"362","Melicertus kerathurus","Caramote prawn",NA,NA
"363","Melicertus latisulcatus","Western king prawn",NA,NA
"364","Melicertus plebejus","Eastern king prawn",NA,NA
"365","Mene maculata","Moonfish","High",390
"366","Menippe mercenaria","Black stone crab",NA,NA
"367","Menticirrhus americanus","Southern kingcroaker","Medium",409
"368","Menticirrhus littoralis","Gulf kingcroaker","Medium",411
"369","Mercenaria mercenaria","Northern quahog",NA,NA
"370","Meretrix lusoria","Japanese hard clam",NA,NA
"371","Merluccius australis","Southern hake","Low",322
"372","Merluccius bilinearis","Silver hake","Medium",323
"373","Merluccius capensis","Shallow-water Cape hake","Low",1828
"374","Merluccius gayi gayi","South Pacific hake","Medium",324
"375","Merluccius gayi peruanus","Peruvian hake","Medium",14693
"376","Merluccius hubbsi","Argentine hake","Low",325
"377","Merluccius merluccius","European hake","Medium",30
"378","Merluccius polli","Benguela hake","Medium",327
"379","Merluccius productus","North Pacific hake","Medium",326
"380","Merluccius senegalensis","Senegalese hake","Low",321
"381","Mesocentrotus franciscanus","red sea urchin",NA,NA
"382","Mesodesma donacium","Macha clam",NA,NA
"383","Metacarcinus magister","Dungeness crab",NA,NA
"384","Metapenaeus affinis","Jinga shrimp",NA,NA
"385","Metapenaeus brevicornis","Yellow shrimp",NA,NA
"386","Metapenaeus joyneri","Shiba shrimp",NA,NA
"387","Metapenaeus monoceros","Speckled shrimp","High",25244
"388","Metapenaeus tenuipes","Stork shrimp",NA,NA
"389","Micromesistius australis","Southern blue whiting","Medium",320
"390","Micromesistius poutassou","Blue whiting","Medium",31
"391","Micropogonias furnieri","Whitemouth croaker","Medium",7620
"392","Micropogonias undulatus","Atlantic croaker","Medium",408
"393","Microstomus kitt","Lemon sole","Medium",1382
"394","Microstomus pacificus","Dover sole","Low",4247
"395","Miichthys miiuy","Mi-iuy croaker","Medium",4569
"396","Mizuhopecten yessoensis","Yesso scallop",NA,NA
"397","Mola mola","Ocean sunfish","Medium",1732
"398","Moolgarda seheli","Bluespot mullet",NA,NA
"399","Morone saxatilis","Striped bass","Low",353
"400","Mugil cephalus","Flathead grey mullet","Medium",785
"401","Mugil curema","White mullet","Medium",1086
"402","Mugil liza","Lebranche mullet","Medium",1090
"403","Mullus barbatus barbatus","Red mullet",NA,NA
"404","Mullus surmuletus","Surmullet","Medium",1327
"405","Muraenesox cinereus","Daggertooth pike conger","Medium",298
"406","Mustelus lenticulatus","Spotted estuary smooth-hound","Low",5933
"407","Mustelus schmitti","Narrownose smooth-hound","Very low",5937
"408","Mustelus whitneyi","Humpback smooth-hound","Very low",5939
"409","Mycteroperca bonaci","Black grouper","Medium",1209
"410","Mycteroperca microlepis","Gag","Medium",1212
"411","Mytilus chilensis","Chilean mussel",NA,NA
"412","Mytilus coruscus","Korean mussel",NA,NA
"413","Mytilus edulis","Blue mussel",NA,NA
"414","Mytilus galloprovincialis","Mediterranean mussel",NA,NA
"415","Mytilus platensis","River Plata mussel",NA,NA
"416","Myxine glutinosa","Hagfish","Low",2513
"417","Nassarius mutabilis","Changeable nassa",NA,NA
"418","Nebris microps","Smalleye croaker","High",1184
"419","Necora puber","Velvet swimcrab",NA,NA
"420","Nemadactylus bergi","Castaneta","Medium",460
"421","Nematalosa nasus","Bloch's gizzard shad","High",1616
"422","Nematocarcinus africanus","African spider shrimp",NA,NA
"423","Nemipterus hexodon","Ornate threadfin bream","High",4565
"424","Nemipterus japonicus","Japanese threadfin bream","Medium",4559
"425","Nemipterus virgatus","Golden threadfin bream","Medium",396
"426","Nephrops norvegicus","Norway lobster",NA,NA
"427","Netuma thalassina","Giant catfish","Low",10220
"428","Nibea mitsukurii","Honnibe croaker","Medium",427
"429","Normanichthys crockeri","Mote sculpin","High",4313
"430","Notarius grandicassis","Thomas sea catfish","Low",949
"431","Notothenia rossii","Marbled rockcod","Low",468
"432","Nototodarus sloanii","Wellington flying squid","Medium",57261
"433","Oblada melanura","Saddled seabream","Medium",850
"434","Octopus cyanea","Big blue octopus",NA,NA
"435","Octopus vulgaris","Common octopus","High",58190
"436","Ocyurus chrysurus","Yellowtail snapper","Medium",188
"437","Odontamblyopus rubicundus","Rubicundus eelgoby","Medium",13545
"438","Odontesthes regia","Chilean silverside","High",8172
"439","Oncorhynchus gorbuscha","Pink salmon","Medium",240
"440","Oncorhynchus keta","Chum salmon","Medium",241
"441","Oncorhynchus kisutch","Coho salmon","Medium",245
"442","Oncorhynchus nerka","Sockeye salmon","Medium",243
"443","Oncorhynchus tshawytscha","Chinook salmon","Medium",244
"444","Ophiodon elongatus","Lingcod","Medium",509
"445","Opisthonema libertate","Pacific thread herring","High",1484
"446","Opisthonema oglinum","Atlantic thread herring","Medium",1486
"447","Oplegnathus fasciatus","Barred knifejaw",NA,6532
"448","Orcynopsis unicolor","Plain bonito","Medium",108
"449","Orthopristis reddingi","Bronze-striped grunt","Low",13724
"450","Osmerus eperlanus","European smelt","Medium",1334
"451","Osmerus mordax mordax","Rainbow smelt",NA,NA
"452","Ostrea edulis","European flat oyster",NA,NA
"453","Otolithes ruber","Tigertooth croaker","Medium",4824
"454","Pagellus acarne","Axillary seabream","Medium",889
"455","Pagellus bellottii","Red pandora","Medium",436
"456","Pagellus erythrinus","Common pandora","Medium",893
"457","Pagrus auratus","Silver seabream","Low",6426
"458","Pagrus caeruleostictus","Bluespotted seabream","Medium",4540
"459","Pagrus major","Japanese seabream","Low",445
"460","Pagrus pagrus","Red porgy","Medium",1756
"461","Pampus argenteus","Silver pomfret","Medium",491
"462","Pampus chinensis","Chinese silver pomfret","High",8187
"463","Pandalus borealis","Northern prawn",NA,NA
"464","Pandalus jordani","Ocean shrimp",NA,NA
"465","Panopea abrupta","Pacific geoduck",NA,NA
"466","Panulirus argus","Caribbean spiny lobster",NA,NA
"467","Panulirus cygnus","Australian spiny lobster",NA,NA
"468","Panulirus homarus","Scalloped spiny lobster",NA,NA
"469","Panulirus longipes","Longlegged spiny lobster",NA,NA
"470","Paralabrax humeralis","Peruvian rock seabass","Medium",352
"471","Paralabrax maculatofasciatus","Spotted sand bass","Medium",3336
"472","Paralichthys dentatus","Summer flounder","Medium",1338
"473","Paralichthys microps","Paralichthys microps","Medium",54963
"474","Paralichthys olivaceus","Bastard halibut","Medium",1351
"475","Paralithodes brevipes","Spiny king crab",NA,NA
"476","Paralithodes camtschaticus","Red king crab",NA,NA
"477","Paralithodes platypus","Blue king crab",NA,NA
"478","Paralomis granulosa","Softshell red crab",NA,NA
"479","Paralonchurus brasiliensis","Banded croaker","High",1187
"480","Paralonchurus peruanus","Peruvian banded croaker","Medium",424
"481","Parapenaeopsis hardwickii","Spear shrimp",NA,NA
"482","Parapenaeopsis sculptilis","Rainbow shrimp",NA,NA
"483","Parapenaeopsis stylifera","Kiddi shrimp","High",25410
"484","Parapenaeopsis uncta","Uncta shrimp",NA,NA
"485","Parapenaeus longirostris","Deepwater rose shrimp","High",25376
"486","Parapercis colias","New Zealand blue cod","Medium",464
"487","Parapristipoma trilineatum","Chicken grunt","Medium",4584
"488","Parastromateus niger","Black pomfret","Medium",1947
"489","Parona signata","Parona leatherjacket","Medium",386
"490","Pastinachus sephen","Cowtail stingray","Very low",8203
"491","Patagonotothen guntheri","Yellowfin notothen","Medium",54742
"492","Patagonotothen ramsayi","Longtail southern cod","Medium",10308
"493","Patinopecten caurinus","Weathervane scallop",NA,NA
"494","Pecten maximus","Great Atlantic scallop",NA,NA
"495","Pecten novaezelandiae","New Zealand scallop","High",83809
"496","Pelates quadrilineatus","Fourlined terapon","High",7945
"497","Pellona harroweri","American coastal pellona","High",1643
"498","Penaeus monodon","Giant tiger prawn","High",25353
"499","Penaeus penicillatus","Redtail prawn",NA,NA
"500","Penaeus semisulcatus","Green tiger prawn","High",25354
"501","Pennahia argentata","Silver croaker","High",434
